ID,人名,疾病,临证经验,资料来源
1,赵炳南,带状疱疹,"西医之带状疱疹,在中医文献中类似记载很多,诸如《医宗金鉴外科·心法要诀》之“缠腰火丹”,《诸病源候论》之“甑带疮”,《疡医大全》之“白蛇串”,《外科启玄》之“蜘蛛疮”等,其中论述,各有不同。赵老先生认为《医宗金鉴》之描述较为具体,辨证较为全面,方药尤其实用。《医宗金鉴》“腰缠火丹”项下记载:“此证有干湿不同,红黄之异,皆如累累珠形。干者色红赤,形如云片,上起风粟,作痒发热。此属肝心二经风火,治宜龙胆泻肝汤;湿者色黄白,水疱大小不等,作烂流水,较干者多疼,此属脾肺二经湿热,治宜除湿胃苓汤。”赵老据此将带状疱疹按皮损分为两种:第一种,基底鲜红(多伴口苦,咽干,脉弦);第二种,基底淡红(多伴纳呆,腹胀,脉缓)。二者均属湿热,区别在于前者热重于湿,后者湿重于热,恰符合“红黄之异”。根据以上分析,赵老又将带状疱疹分为两型:热盛者属于“肝胆湿热型”,治宜清肝胆湿热汤加减,湿盛者为“脾肺湿气型”,治宜健脾除湿清肺汤加减。同时赵老明确指出,以上证治方案,病例举例对一般的病例确有较好的疗效,能缩短病程和减轻痛苦。但是对重症病例和后遗神经痛病例等特殊情况,则疗效欠佳。赵老先生集60余年临床实践经验,认为对于带状疱疹的特殊病例,绝不能拘泥于已有的一方一药,而应根据具体情况认真辨证治疗,才能取得较理想的效果。其一:带状疱疹重症者,其发病急骤,皮疹呈痘疹样泛发,或伴有高烧,头痛,心烦不寐,甚至神昏谵语。此种病例为正气大衰,湿热毒邪太盛,以致入传营分,表现为“毒邪侵营,热入心包”的现象,治宜解毒清营止痛汤加减。其二:带状疱疹后遗神经痛者,虽然《医宗金鉴》中无带状疱疹后遗神经痛的记载,但临证所见颇多,特别是年老体弱者,皮疹消退后,疼痛常持久存在,使患者痛苦不堪,此种病例赵老又将其分为“虚”、“实”两型。“实”证者为湿热之“因”虽除,但气滞血瘀之“果”仍在,临床可见疼痛持续,拒按,脉实。此种情况为气滞血瘀,治宜理气化痰止痛汤加减。“虚”证者为湿热虽去,但气阴两伤,气虚血滞所致,临床可见疼痛时重,喜按,脉弱,此种情况属于“气虚伤阴血瘀”,治宜益气养阴止痛汤加减。其三:有些病例名为带状疱疹,但只见红斑,始终不起水疱或根本不发生皮疹,而疼痛明显。对于此种类型,赵老认为《医宗金鉴》中“心肝二经风火”辨证很符合,因肝主风,故起病迅速;心主火,故发为红斑;“诸痛痒疮,皆属于心”故自觉疼痛。此种病例治宜凉血祛风止痛汤加减。只痛不起疹者,则认为素体气虚,又因气急恼怒,使体虚气郁,终致气滞血瘀而发病,表现为“经络阻隔”,治宜舒肝益气止痛汤加减。","李维义.赵炳南先生治疗带状疱疹经验介绍[J].广西中医学院学报,2007(4):35-36."
2,赵炳南,脚湿气,癣菌疹可归属于“湿毒疡”、“风湿疡”范畴。中医药辨治脚湿气，多以湿热下注为主，治以清热化湿，解毒消肿，湿重于热者用萆薢渗湿汤，湿热兼瘀者用五神汤，湿热并重者用龙胆泻肝汤等。,"李伯华,曲剑华,张广中,张苍.清热除湿、凉血解毒法治疗癣菌疹体会[J].中医杂志,2014,14:1238-1240."
3,赵炳南,湿疹,"2.1湿邪致皮肤病病机
赵老认为“湿”与许多皮肤病发生发展有密切的关系,“皮肤病统称风湿疡”,“外受不洁之风与体内湿热之气相搏,则生风湿疡”,用“风湿疡”三个字解释皮肤病发病的因果关系:如气候潮湿、涉水淋雨、居处潮湿等外在湿邪侵袭人体致病;或由于饮食不节,脾失健运,水湿停聚而成内湿。外风激发体内湿热,形成因果关系链。赵老强调:“风字从虫,可能有类似病原体之意义”。风作为流动的空气,不仅是气象因素、物理因素,而且其中漂浮着微生物、花粉、霉菌、尘蜗、颗粒污染物,可归入“不洁之风”的范畴。体内存在湿热之气的人形成一种体质因素,当受到不洁之风的侵袭,会使体内湿热由蕴藏状态转变为激化状态,产生剧烈反应,而无此种体质倾向的人不发生此种反应。一般中医仅认为湿热蕴藏于脏腑,而赵老指出:“皮之下肌之外蕴藏有湿热、湿气,外遭风侵袭,即可得皮肤病。”“不洁之风”在皮之下肌之外相搏,于是在皮肤激起反应,而外发为皮肤病。
2.2湿邪所致皮肤病常见证型与治则
湿邪侵入皮之卜肌之外,临床则见皮肤红斑、丘疹、水疤、渗出、糜烂等,湿邪挟热、挟毒、挟风为病,则见痉痒明显。中医古籍记载的“浸淫疮”、“漆疮”、“湿毒疡”、“风湿疡”、“湿毒流注”等,均与“湿”邪密切相关。赵老擅于从湿入手诊治皮肤病,常说“善治湿者,当可谓善治皮肤病之半”。正是由于湿邪致皮肤病有着不同的兼见证,赵老在治疗上很重视标本兼治、内外兼顾的原则,治则在祛湿大法上加以调整,治本或健脾或补肾,治标分湿热、湿毒、风湿而论。由此理论基础上创建了赵炳南治湿系列方药。
2.2.1湿热相兼热蕴为湿邪致病的兼症之一。热为阳邪,其性炎热,湿热致病同样具有热邪耗伤正气、损伤阴津的特性,但由于湿热合邪,热蕴湿中,则其病理表现不仅具有湿邪、热邪各自的基本致病特点,而且还有湿热相互作用、相互影响产生的其他病理表现。热为湿阻则成郁热,热郁而炽;湿为热蒸则常呈弥漫之势。故而湿热致皮肤病多表现为泛发皮肤斑块、氏疹、水疤,瘤痒剧烈。湿热久留,化火成毒,热势愈盛,湿毒阻滞经脉,局部肌肤失养则易见糜烂、溃疡、丘疹、结节等。
2.2.2风湿相兼“风为百病之长”,风邪最容易致病,同时也易挟它邪共同致病,“风为阳邪,易袭阳位”,体表肌肤为一身之表,故风邪多袭该处,扰乱正常气血.循行,产生疾患。湿为阴邪,其性乳滞,易阻滞气机,气机不利则血液停滞,故患者可见全身困重乏力,俯仰不舒。湿邪若合风邪致病,临床可见肌肤水肿,发无定处,痉痒,甚者如虫行皮中。
2.2.3湿伤正气,本虚标实湿为阴邪,易伤阳气,阻碍气机。湿热之邪久羁易耗伤脾之阳气与元气。湿热阻于中焦,脾失健运则化湿不利,湿热愈加留恋肌肤,缠绵难去。湿热上蒸头面日久,阻于肌肤毛窍,发根湿热阻络、气血失养则可见头发脱落","蔡念宁,李敏,张广中.赵炳南用清热除湿汤治疗急性湿疹(湿热证热重于湿型)的临床经验探析[A].中华中医药学会、重庆市中西医结合学会.中华中医药学会皮肤科分会第七次学术年会、2010年重庆四川中西医结合皮肤性病学术年会、全国中西医结合诊疗皮肤性病新进展新技术学习班论文汇编[C].中华中医药学会、重庆市中西医结合学会:,2010:2."
4,赵炳南,湿疹,"现代的急性湿疹属于中医湿疮范畴,赵炳南先生认为本病的发生虽形于外而发于内,多由于饮食失节或过食腥发动风之品,伤及脾胃,脾失健运,致使湿热内蕴,造成脾为湿热所困,复感风湿热邪,内外两邪相搏,充于腠理,浸淫肌肤所致。所以内外湿热之邪相互搏结是本病的基本病理。按其性质可分为急性期、亚急性期及慢性期。前两期在临床上均有较明显的湿象。即使在湿疹的慢性期,皮肤出现干燥、粗糙、肥厚、角化等一系列燥象而无水疤、渗出、糜烂等情况下,仍用治湿之法。对此,他曾论:`,正是因为湿邪有重浊、粘腻的特点,因此,病理过程迁延日久,湿邪停滞,日久化燥,肌肤失养,是导致慢性肥厚性皮肤病的关键,故仍以治湿为本”。其发病机理不外乎湿热内蕴,或湿重于热,或热重于湿。在临证时根据病人的表现和中医的基本理论,擅用除湿大法,权衡病人在各个阶段热与湿的轻重不同而加减化裁。急性湿疹往往辨证为湿热证热重于湿型,主要有如下主症:发病急,病程短,身热口渴,心烦,大便秘结,小便短赤,皮肤潮红、肿胀,有疱疹或糜烂渗出,舌红苔黄腻,脉洪大等。赵老在治疗上本着“急则治其标,缓则治其本”的原则,以大剂清热凉血药急治其标,同时加以清热利湿,以达釜底抽薪、标本兼治的目的。故选用具有清热利湿凉血之功的清热除湿汤。方中龙胆草大苦大寒,清肝胆湿热;黄芩性味苦寒,清肺热;生石膏清胃热;白茅根、生地清热凉血.;大青叶清热解毒;车前草、六一散清热利湿,使湿热从水道而解。从药物性味上看,清热除湿汤组成药物均为甘苦寒,甚至大寒类药物,用此类药物能更快地减轻症状。从归经上看,清热除湿汤中药物大多归肺胃经,清肺热、胃热,更能直达病所。从功效上看,清热除湿汤以大剂清热凉血药急治其标,同时加以清热利湿,能更快减轻皮疹颜色鲜红、灼热症状,达到釜底抽薪、标本兼治的目的。在治亚急性、慢性湿疹时,多采用健脾祛湿之法,善用薏仁、茯苓皮、扁豆、苍术、白术等药物。他认为选用健脾祛湿之品是符合扶正祛邪原则的。当然,他也认为当利则利,因此,车前子、猪苓、防己、泽泻、萆薢等利湿之品亦常使用。常用白创除湿丸。本方由威灵仙、丹皮、猪苓、桅子、茯苓皮等中药组成,与湿毒清胶囊同以清热除湿为基础,但除湿九方中以威灵仙为君药,善辛散温通,祛风除湿,走而不守,宣通十二经络,配合清热解毒,消肿散结的“疮家圣药”连翘,加以凉血活血_散瘀之丹皮,此三药在宣散通利中共凑祛湿解毒、凉血止痒之功。而猪苓、泽泻、桅子、黄芩、茯苓皮、白鲜皮的组合,以达到开水道甘淡渗泄、燥湿之功。","蔡念宁,李敏,张广中.赵炳南用清热除湿汤治疗急性湿疹(湿热证热重于湿型)的临床经验探析[A].中华中医药学会、重庆市中西医结合学会.中华中医药学会皮肤科分会第七次学术年会、2010年重庆四川中西医结合皮肤性病学术年会、全国中西医结合诊疗皮肤性病新进展新技术学习班论文汇编[C].中华中医药学会、重庆市中西医结合学会:,2010:2."
5,朱仁康,湿疹,"湿疹虽属皮肤表病，但来源于内因，中医着重于内治，其次辅以外治。内因以心火、脾湿为主，可因心绪烦扰，心火内生，导致血热。又由于饮食不慎，脾失健运，湿从内生，湿与热合，外走肌肤而病生焉。其辨证大致分以下几种证型：
    （一）湿热型：发病速，皮肤灼热红肿，或现大片红斑、丘疹、水疱，渗水多，甚至黄水淋漓，粘而有腥味，结痂后如松脂。可因搔痒太甚而皮肤剥脱一层。大便偏干，小便黄或赤，舌质红、苔黄或黄腻，脉滑带数。此种类型最多见，治则以利湿清热为主，用龙胆泻肝汤加减。出现脓疱加银花、连翘；大便偏干加大青叶。（二）血风型：证见身起红粟（以红丘疹为主），搔破出血，渗水不多，剧烈瘙痒可见搔痕累累？尤以夜间为甚。舌质红、苔薄自或薄黄，脉弦带数。此种类型，是热重于湿，以血热为主，治则以凉血消风为主，除湿清热为辅，用皮癣汤加减：生地、丹皮、赤芍、黄芩、苦参、地肤子、白鲜皮、丹参、生甘草。（三）脾湿型：此种类型较少见，皮肤黯淡不红，成片水窠（隐在皮肤内的水疱）搔痒才见渗水，后期干燥脱屑。证见面色无华，饮食不香，纳差，大便溏薄，小便不黄，或有腹胀等脾胃症状。舌质淡、苔薄白或白腻，脉缓滑等。此型表现脾虚湿胜，热象不显，治以健脾理湿为主，以除湿胃苓汤加减：苍术、陈皮、茯苓、泽泻、六一散、白鲜皮。胃呆纳差加藿香、佩兰芳香化湿；腹胀加川朴、大腹皮。（四）阴伤型：病廷日久，长期渗水过多，致伤阴耗血，血燥生风，亦可因长期服用苦寒燥湿，或淡渗利湿之品，造成伤阴耗血，皮肤浸润，干燥脱屑，瘙痒剧烈。主要的辨证指标是舌红苔剥（伤阴），或舌淡苔光（耗血）。见到此证时，用滋阴除湿法治疗。药用：生地、元参、当归、丹参、茯苓、泽泻、白鲜皮、蛇床子。在这里特别指出，滋阴与除湿同用，似有矛盾，一般以为滋阴可能助湿，除湿可以伤阴。本方生地、当归、元参、丹参滋阴养血而不助湿，茯苓、泽泻除湿而不伤阴，用于反复不愈的湿疹及慢性阴囊湿疹（肾囊风）疗效较好。对此证型，切忌重用燥湿或利湿之品，以免重伤其阴，症情越来越坏。
    ",".湿疹证治[J].中医杂志,1986,08:10-16."
6,朱仁康,婴幼儿湿疹,"婴幼儿湿疹，中医总称胎（疒敛），又有湿（疒敛）、干（疒敛）之分，后者又称奶癣。婴儿湿疹至儿童期仍不断发作，皮损渐局限于手肘、胭窝、足踝等处，常呈对称性，中医称四弯风。婴儿湿疹，中医认为由于胎孕时期，母食五辛，遗热于儿所致，可分三型论治。
（一）湿热型（湿（疒敛））：多见于肥胖婴儿。部位多在头面耳项等处，重则泛发全身。证见皮肤潮红、糜烂、渗水、结痂，重则脱皮，大便干，小便黄，舌红、苔薄黄。治宜导湿清热，方用导赤汤加减：生地、木通、竹叶、六一散、黄连，或服牛黄清热散，量儿大小，一瓶分2天或3天服。（二）脾虚型（干（疒敛））：多见于发育差的瘦弱婴儿。证见皮肤浸润，干燥、鳞屑、瘙痒，或起少数丘疹、水疱，一般消化不良，纳食不多，面黄肌瘦，大便溏，或完谷不化，舌淡苔薄白，脉缓滑。治以健脾化湿，用化湿汤加减：苍术、陈皮、茯苓、泽泻、炒麦芽、六一散。  （三）阴伤型（干（疒敛））：大多属湿热型，渗水日久不愈，’伤阴耗血转变而来。皮损与脾虚型相似，唯无脾胃症状，纳食、大便正常，可见舌红苔剥或舌淡苔光之征。可用滋阴除湿法治疗。   外治法，大致可分三类：
（一）渗水期。采用湿敷法：可以用生地榆、马齿苋、黄柏，任选其中一味或二味，各10克，水煎20分钟，待微温时，用纱布叠五六层（小毛巾亦可），蘸药水，稍拧干，溻敷于患处，隔20～30分钟再蘸水换敷，一日敷3～4次，直至不流水为止。   (二)流水不多时，选用缓和性的药膏，不宜敷刺激性强的药膏。    （三）慢性湿疹皮损肥厚浸润，可采用刺激性较强的药膏。（四）湿疹的护理，亦很重要，应注意下列几点：(1)不用水洗。不用热水烫，少洗澡，不接触肥皂。(2)忌口。不吃鱼腥、海味、羊肉等五辛发物。(3)小儿勿穿戴和接触羊毛织物。

",".湿疹证治[J].中医杂志,1986,08:10-16."
7,赵炳南,带状疱疹$慢性湿疹$亚急性湿疹$神经性皮炎$皮肤瘙痒症$银屑病,"皮肤病的发生发展在内与脏腑气血的功能调节息息相关,在外尤其与湿邪有密切关系。脾脏为人体的后天之本,气血生化之源;皮肤要保持正常的生理功能,必有赖于脾气的敷布和气血的濡养。中医认为湿为阴邪,重浊而粘腻,皮肤科疾病经常反复发作,正与湿邪的特性相关,因此,我们中医皮肤科的泰斗赵炳南先生一向主张从湿论治皮肤病,以脾脏进行辨证论治,用以提高皮肤病的临床疗效。故笔者总结了赵老在皮肤科临床常用的祛湿之法如下:
1、健脾燥湿法:证见:面色无华,饮食不香,纳差,大便溏薄,小便不黄,或有腹胀等脾胃症状,舌质淡,边有齿痕,苔薄白或白腻,脉濡滑等。适用于脾虚湿盛之证。临床应用于带状疱疹、慢性及亚急性湿疹、神经性皮炎、皮肤瘤痒症、银屑病以及其他疱疹性和渗出性皮肤病等。代表方剂:除湿胃苓汤。方药:苍术6g、厚朴6g、陈皮9g、滑石块12g、炒白术12g、猪苓12g、炒黄柏12g、炒枳壳9g、泽泻9g、赤苓12g、炙甘草9g。
  ","曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3."
8,赵炳南,手足汗疤疹$静脉炎$慢性湿疹,"  2、健脾渗湿法:适用于脾肺气虚挟湿者。临症用于手足汗疤疹、静脉炎、慢性湿疹等皮肤病的辅助治疗。代表方剂:参苓白术丸。本方是宋代《太平惠民和剂局方》里的一个成方,它是由人参、白术、茯苓、炙甘草、陈皮、山药、炒扁豆、炒苡仁、砂仁、莲米、桔梗、大枣十二味中药组成。用量则应根据患者的病情而定,通常用量为:人参15g(党参为40g)、白术20g、茯苓20g、炙甘草15g、陈皮12g、山药25g、炒扁豆25g、炒苡仁30g、莲米20g、砂仁15g、桔梗12g、大枣6枚。此乃成人量,小儿随年龄酌减。苡仁本是理脾渗湿的药物,炒黄入药就增加了健脾的功能;陈皮、砂仁可理气温胃;桔梗不仅能引诸药上行,它与山药合用还能防止辛温香燥的药损伤肺阴;大枣既可调和诸药,又有补养脾气的功能。因而,本方适用于脾胃虚弱、肺气不足引起的饮食减少、体倦少力、短气心悸,以及呕吐泄泻等症。药物有:白扁豆、人参、茯苓、白术、甘草、山药、莲子、桔梗、砂仁、苡仁米。
","曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3."
9,赵炳南,水肿,"3、健脾化湿法:适用于水湿浸渍之水肿。代表方剂:五皮饮。组成与用法:生姜皮、桑白皮、陈橘皮、大腹皮、茯苓皮各等分共为粗末,每次9克,水煎去滓温服,不拘时候。忌生冷油腻硬物。功效与主治:行气健脾,利水消肿,主治皮水,一身悉肿,肢体沉重,心腹胀满,上气促急,小便不利,舌苔白腻,脉沉缓者。亦可用治妊娠水肿。皮水,为水肿病之一种,多由脾虚湿盛,气滞水停,水湿泛溢肌肤所致,以皮肤肿胀为主要临床特征。治宜行气健脾,利水消肿。本方用陈皮理气健脾化湿,茯苓皮淡渗利湿健脾,生姜皮辛凉宣散行水,大腹皮行气除胀利水,使气行水行,脾健湿化,而防水之堤自固。更以桑白皮泻肺降气,使肺气清肃,则水自下趋,所谓“源清而流自洁”。全方五药,皆用其皮,寓“以皮行皮”之意,合而为治疗皮水的通用方剂,但本方作用平和,利水与健脾之力俱弱,适宜于脾虚水肿之轻症。若脾虚较甚,可酌加黄芪、白术、党参等益气健脾之品;若里湿较盛,可与五等散合方同用,近代广泛用于急、慢性肾炎水肿,心脏病水肿,肝硬化腹水,妊娠水肿,以及更年期综合症肌肤水肿等,证属脾虚湿盛者,均有一定疗效。《麻科活人全书》所载五皮饮去桑白皮而有五加皮,与本方主治基本相同,但本方利水之中,兼以降逆下气;《麻科活人全书》方则利水兼去风湿。《和剂局方》亦载有五皮饮,为本方去桑白皮、陈皮、加五加皮、地骨皮、主治与本方亦同,但理气健脾之力更弱。此外妇科有“全生白术散”,亦是由本方去桑白皮,加白术而成,消水之中更增健脾安胎之效,是治疗子肿的名方。以上四方,临近可酌情活用。
  ","曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3."
10,赵炳南,亚急性湿疹$慢性湿疹$盘状湿疹$阴囊湿疹$女阴溃疡$糜烂性龟头炎$脂溢性脱发,"  4、健脾除湿法:适用于水湿壅盛、小便不利者。临症用于亚急性及慢性湿疹、盘状湿疹、阴囊湿疹、下肢溃疡、女阴溃疡、糜烂性龟头炎以及脂溢性脱发等。代表方剂:健脾除湿汤。方药有:生薏米15g、生扁豆15g、山药15g、芡实9g、枳壳9g、萆薢9g、黄柏9g、白术9g、茯苓15g、大豆黄卷9g。
","曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3."
