ID,名医,资料来源,西医病名,中医病名,证候,临床表现,治法,方名,组成,主治,加减,用法用量,论治经验,方解,备注
1,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（热盛于湿型）,"多见于急性湿疹皮炎类皮肤疾患及急性炎症性皮肤疾患。发作急, 皮肤损害多形性, 可有红斑$丘疹$水疙$糜烂$渗液$抓痕$结痴, 或红肿$自觉灼痒或肿痛。大便干燥。舌质红, 苔薄黄, 脉滑数。",清热$解毒$佐以除湿$凉血,清热除湿汤,龙胆草$黄芩$生地$白茅根$大青叶$车前草$生石膏$六一散,,,,,,
2,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（热盛于湿型）,"多见于急性湿疹皮炎类皮肤疾患及急性炎症性皮肤疾患。发作急, 皮肤损害多形性, 可有红斑$丘疹$水疙$糜烂$渗液$抓痕$结痴, 或红肿$自觉灼痒或肿痛。大便干燥。舌质红, 苔薄黄, 脉滑数。",清热$解毒$佐以除湿$凉血,利湿清热方,生地$黄芩$赤茯苓$泽泻$车前子$木通$六一散,,,,,,
3,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（热盛于湿型）,"多见于急性湿疹皮炎类皮肤疾患及急性炎症性皮肤疾患。发作急, 皮肤损害多形性, 可有红斑$丘疹$水疙$糜烂$渗液$抓痕$结痴, 或红肿$自觉灼痒或肿痛。大便干燥。舌质红, 苔薄黄, 脉滑数。",清热$解毒$佐以除湿$凉血,石蓝草煎剂,清热除湿汤+板蓝根$马齿觅$丹皮$赤芍,,,,,,
4,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（热盛于湿型）,"多见于急性湿疹皮炎类皮肤疾患及急性炎症性皮肤疾患。发作急, 皮肤损害多形性, 可有红斑$丘疹$水疙$糜烂$渗液$抓痕$结痴, 或红肿$自觉灼痒或肿痛。大便干燥。舌质红, 苔薄黄, 脉滑数。",清热$解毒$佐以除湿$凉血,皮炎汤,生地$丹皮$赤芍$知母$生石膏$银花$连翘$竹叶$生甘草,,,,,,
5,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,土槐饮,土茯苓$槐花。,,,,,,
6,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,加减除湿胃苓汤,苍术$厚朴$陈皮$滑石$炒白术$猪苓$炒黄柏$炒枳壳$泽泻$茯苓$炙甘草。,,,,,,
7,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,除湿止痒汤,茯苓皮$白鲜皮$苦参$地肤子$干生地$炒薏米$白术$陈皮$焦槟榔,,,,,,
8,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,健脾除湿汤,生薏米$生扁豆$山药$芡实$枳壳$萆薢$黄柏$白术$茯苓$大豆黄卷。,,,,,,
9,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,健脾除湿汤,苍术$炒白术$厚朴$陈皮$猪苓$获菩$泽泻$六一散$桂枝。,,,,,,
10,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,清脾除湿汤,又称八生汤:生白术$生枳壳$生薏米$生芡实$生扁豆$生黄柏$生地黄$生桅子。,,,,,,
11,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,湿热证（湿盛于热型）,"多见于亚急性湿疹皮炎类皮肤疾患。发病较缓慢,皮疹以丘疹$丘疤疹$水疤为主,皮疹周围皮肤轻度潮红,有痉痒,抓后糜烂渗液明显。大便不干或塘。舌质淡红,舌体胖大或有齿痕,苔白腻,脉沉缓或弦滑。",除湿$清热,加减清脾除湿饮,赤苓皮$生白术$苍术$淡黄芬$干生地$麦冬$生桅仁$泽泻$生枳壳$灯心草$淡竹叶$锦茵陈$生甘草,,,,,,
12,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风热证,"多见于急性痰痒性皮肤疾患。发病急$皮疹可时隐时现,遇热加重,皮损以丘疹$红斑$风团为主,皮疹呈淡红或黯红色$自觉灼痒难忍,或皮肤痉痒不止$皮肤干燥。身热。舌质红,苔薄白,脉浮数。",疏风$清热,荆防方,荆芥穗$防风$僵蚕$蝉衣$银花$黄芩$牛蒡子$浮萍$生地$丹皮$薄荷$生甘草。,,,,,,
13,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风热证,"多见于急性痰痒性皮肤疾患。发病急$皮疹可时隐时现,遇热加重,皮损以丘疹$红斑$风团为主,皮疹呈淡红或黯红色$自觉灼痒难忍,或皮肤痉痒不止$皮肤干燥。身热。舌质红,苔薄白,脉浮数。",疏风$清热,消风清热饮,荆芥$防风$浮萍$蝉衣$当归$赤芍$大青叶$黄芩。,,,,,,
14,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风热证,"多见于急性痰痒性皮肤疾患。发病急$皮疹可时隐时现,遇热加重,皮损以丘疹$红斑$风团为主,皮疹呈淡红或黯红色$自觉灼痒难忍,或皮肤痉痒不止$皮肤干燥。身热。舌质红,苔薄白,脉浮数。",疏风$清热,疏风清热饮,荆芥$防风$牛蒡子$白蒺藜$蝉衣$生地$丹参$赤芍$炒山桅$黄芩$银花$连翘$生甘草。,,,,,,
15,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风热证,"多见于急性痰痒性皮肤疾患。发病急$皮疹可时隐时现,遇热加重,皮损以丘疹$红斑$风团为主,皮疹呈淡红或黯红色$自觉灼痒难忍,或皮肤痉痒不止$皮肤干燥。身热。舌质红,苔薄白,脉浮数。",疏风$清热,乌蛇驱风汤,乌蛇$蝉衣$荆芥$防风$羌活$白芷$黄芩$黄连$银花$连翘$生甘草。,,,,,,
16,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风热证,"多见于急性痰痒性皮肤疾患。发病急$皮疹可时隐时现,遇热加重,皮损以丘疹$红斑$风团为主,皮疹呈淡红或黯红色$自觉灼痒难忍,或皮肤痉痒不止$皮肤干燥。身热。舌质红,苔薄白,脉浮数。",疏风$清热,搜风流气饮,荆芥$防风$菊花$僵蚕$白芷$当归$川芎$赤芍$乌药$陈皮。,,,,,,
