Reference Type,Author,Year,Title,Keywords,Abstract
Journal Article,李学燕; 刘清,2015,93岁陈彤云的逆时光美容秘方,,"""<正>每个女人心中都有一个不老的梦:青春不逝,容颜不衰。真的能做到吗?陈彤云,1921年生人,回族,师从京城皮科泰斗赵炳南,学习中医皮外科,1966年调入北京中医医院,擅长脏腑辨证治疗损容性皮肤病,研制的""""祛斑增白面膜""""获北京市中医管理局科技成果一等奖。被评为第二届""""首都国医名师""""。"""
Thesis,谭馨宇,2023,陈彤云、曲剑华治疗痤疮经验及金花清爽面霜对痤疮辅助疗效观察,痤疮;陈彤云;曲剑华;经验总结;皮肤屏障功能;中草药护肤,"""研究背景:寻常型痤疮是一种会影响患者外观的常见皮肤病,其病因复杂,治疗后容易反复,经常给患者带来很大困扰。中医药治疗痤疮的历史悠久,治疗方法丰富多样,包括内服方药、外用药膏、中药面膜、针灸等,疗效明显。国医大师陈彤云及其弟子曲剑华教授,是燕京赵氏皮科流派的代表性传承人,既传承了燕京赵氏皮科流派的学术思想,又在不断临证中形成了自己的学术特色,尤其擅长损美性皮肤病的诊治,学术思想值得后人学习与传承。随着现代医疗技术的飞速发展,皮肤生理研究不断深入,不少学者发现皮肤屏障的破坏与痤疮的发生密切相关,亦有国外研究者通过前瞻性研究发现,在坚持药物治疗的基础上,辅以清洁、保湿等护肤产品进行屏障修复治疗是轻度至中度痤疮临床改善的关键因素。因此对于痤疮患者来说,除了药物治疗外,日常皮肤护理同样十分重要。中医药在护肤产品研发中发挥着重要作用,富含中草药提取物的护肤产品以其天然、安全和功效稳定的特点备受关注。国医大师陈彤云将自己多年累积的临床经验和配方全部无偿捐献给首都医科大学附属北京中医医院,在医院的协助下将自己的经验与研究成果转化为天然植物草药的金花清爽面霜。研究目的:①挖掘分析陈彤云教授、曲剑华教授治疗寻常型痤疮的门诊处方,探究其用药规律及临证经验,便于系统性总结和学习其学术思想。②观察金花清爽面霜对轻中度寻常型痤疮肺胃湿热证的辅助疗效以及对患者皮肤屏障功能指标的影响,并进行安全性评价,进一步优化痤疮的中医诊疗方案,为痤疮患者日常皮肤护理提供方案。研究方法:①收集陈彤云教授、曲剑华教授治疗寻常型痤疮的门诊处方各100张,通过名医传承一体化平台内置FangNet分析系统,对中药重要性等级、中药协同与互斥关系以及中药聚类进行分析,得出结论。②采用随机对照试验的设计,纳入符合轻中度痤疮肺胃湿热证的患者,随机分为试验组和对照组,试验组口服曲剑华主任经验方痤疮除湿方,每日两次,辅助使用金花清爽面霜,每日两次;对照组口服曲剑华主任经验方痤疮除湿方,每日两次。两组均连续治疗4周,在第0天及第28天进行痤疮症状积分评估、云镜检测及皮肤屏障功能指标检测,记录并分析数据,得出结论。研究结果:①陈彤云教授100张处方共涉及103味中药,根据拓扑中心分数发现核心中药20味,前10味分别是茵陈、连翘、丹参、野菊花、川芎、当归、虎杖、黄柏、百部、黄连;常用药对8对,分别是当归—川芎,川芎—丹参,当归—丹参,百部—虎杖,丹参—黄连,黄柏—黄连,黄连—川芎,黄连—当归;聚类分析得出陈彤云教授治疗痤疮病的基础方为茵陈、连翘、丹参、野菊花、当归、川芎、黄连、黄柏、百部、虎杖、土茯苓。曲剑华教授100张处方共涉及101味药,根据拓扑中心分数发现核心中药共16味,前10味分别是丹参、连翘、金银花、茵陈、黄芩、川芎、蒲公英、当归、荷叶、浙贝母;常用药对4对,分别是茵陈—连翘,黄岑—茵陈,当归—川芎,当归—黄芩;聚类分析得出曲剑华教授治疗痤疮病的基础方为丹参、连翘、金银花、茵陈、黄芩、当归、川芎。②本试验共纳入患者24人,均为女性,患者年龄22—34岁。随访过程中因无法及时复诊,脱落3例。经过4周治疗,试验组总有效率91.67%,对照组总有效率88.89%;试验组在治疗前后,TEWL值、皮肤含脂量、皮肤含水量、红色区的差异有统计学意义(P<0.05),对照组在治疗前后,TEWL值、皮肤含脂量、皮肤含水量、红色区的差异有统计学意义(P<0.05);试验组与对照组两组间TEWL值、皮肤含脂量、皮肤含水量、红色区与入组基线差值的差异有统计学意义(P<0.05)。研究结论:①陈彤云教授认为痤疮的共性核心病机是“热毒湿瘀”,治疗痤疮时以清解肺胃热毒为主,佐以除湿、活血、行气、化瘀,用药注重清肺胃,调肝脾。曲剑华教授认为痤疮的病机以湿热为本,瘀滞为标,治疗痤疮时以清热利湿为主要治法,辅以活血化瘀,疏肝行气等治标之法,注重顾护脾胃。②痤疮除湿方配合金花清爽面霜或单独使用痤疮除湿方治疗寻常型痤疮肺胃湿热证,在临床有效率、降低TEWL值、减少皮肤含脂量、增加皮肤含水量、减少红色区方面疗效相当,均有较好疗效。痤疮除湿方配合金花清爽面霜在降低TEWL值、减少皮肤含脂量、增加皮肤含水量、减少红色区方面优于单独使用痤疮除湿汤。金花清爽面霜对肺胃湿热型痤疮有一定辅助治疗效果,在安全性上无明显副作用,可以为临床治疗寻常型痤疮及痤疮患者日常皮肤护理提供新的方法。"""
Conference Proceedings,陈勇; 曲剑华,2004,陈彤云辨证论治黄褐斑的经验,,"""<正>黄褐斑是一种常见的严重影响美容的色素性皮肤病,中医称为""""肝斑""""或""""黧黑斑"""",好发于面部,多见于中、青年女性。国家级名老中医陈彤云以擅长治疗损容性皮肤病闻名,其辨证论治黄褐斑的经验独到,疗效显著。我们随陈老抄方学习,遂将她的经验总结报告如下:"""
Conference Proceedings,陈勇; 陈彤云,2012,陈彤云对黄褐斑的辨证论治,,"""全国名老中医陈彤云根据中医藏象理论,认为黄褐斑的病机为肝、脾、肾三脏的功能失调,并强调三脏功能失调导致的气血瘀滞、运行滞涩不能上荣于面,使颜面失于荣养是发生本病的病机关键,提出""""有斑必有瘀,无瘀不成斑""""的学说。她在治疗上,运用脏腑辨证的方法将黄褐斑分为肝郁气滞、脾失统摄、脾失健运、肾阴虚、肾阳虚五个证型,在辨证论治的基础上,无论病在何脏都强调""""治斑不离血"""",常使用行气活血、化瘀消斑的中药治疗黄褐斑。临证遣方用药精妙,疗效显著。"""
Journal Article,陈勇曲剑华陈彤云,2005,陈彤云对黄褐斑的辨证论治,,
Journal Article,刘清,2009,陈彤云防治损容性皮肤病学术思想特色,陈彤云;皮肤病;防治;学术思想;老中医经验,"""陈彤云是国家中医药管理局第三、四批老中医药专家学术经验继承工作指导老师,著名中医皮外科的专家。她深得其父陈树人和公公哈锐川、丈夫哈玉民等中医名家的真传,不仅继承和发扬了哈家在中医皮外科领域的丰富经验,对外科疮疡和各种皮肤病的治疗颇具效验,并逐步形成自己独到的以中医整体观为基础、突出辨证论治思路,重视外病内治的治疗损容性皮肤病的临床特色。认为火热之邪是颜面炎症性皮肤病的主要致病邪气,损容性皮肤病者多有气滞血瘀,提出""""无瘀不斑""""的中医病机学流。临证治疗颜面炎症性皮肤病,多以清热解毒为主;色素增加性皮肤病则以疏肝补肾、健脾益气为主,辅以行气活血化瘀之法;并注重对肾、脾二脏的调护。在皮肤病的预防上强调精神内守、劳逸有度和科学营养。"""
Journal Article,韩颐; 徐佳; 曲剑华; 陈彤云,2022,陈彤云分缓急辨治变应性皮肤血管炎经验,陈彤云;变应性皮肤血管炎;分期论治;老中医经验,"""变应性皮肤血管炎属中医学""""瓜藤缠""""""""湿毒流注""""范畴。陈彤云教授认为本病虚、瘀为本,湿毒、热毒、瘀毒为标,依据病情的发展过程,可分为急性期、缓解期、稳定期,故而提出三期三型辨治理论。急性期(湿热火毒、瘀血阻络型)以消为贵,治疗以清热解毒、利湿通络为主,方用四妙勇安汤、三妙丸、桃红四物汤加减;缓解期(气虚血瘀、余毒未清型)注重扶正祛邪,治疗以益气活血、托毒外出为主,方用托里消毒散、桃红四物汤加减;稳定期(正气不足、脉络瘀滞型)预防疾病复发,治疗以补脾益肾、养血活血为主,方用归肾丸、桃红四物汤加减。陈彤云教授根据疾病的发展变化,分缓急辨治变应性皮肤血管炎,取得了很好的疗效,为中医治疗本病提供了新的思路。"""
Journal Article,李丽; 曲剑华; 陈彤云,2020,陈彤云分型辨治脂溢性皮炎经验,陈彤云;脂溢性皮炎;干性型;湿性型;辨证论治;老中医经验,"""脂溢性皮炎属于难治性损美皮肤疾病之一,与中医文献记载""""白屑风""""""""面游风""""""""纽扣风""""相似。陈彤云教授从中医药整体观念出发,根据脂溢性皮炎病性特点,将皮损为分干性型和湿性型;临床提倡辨证论治,遣方遵经典的思想,而且诊治过程中重视心理疏导;根据其多年临证经验及体会将本病分为风热血燥、脾胃湿热、肝胆湿热三型;治疗以祛风清热、养血润燥、除湿泻热止痒为原则。"""
Thesis,曾弯弯,2018,陈彤云教授、曲剑华教授治疗Ⅰ、Ⅱ期酒渣鼻药证分析及经验总结,酒渣鼻;经验总结;燕京赵氏学术流派,"""研究背景:酒渣鼻是一种发生于颜面中央部位的以红斑及毛细血管扩张为主要特征的慢性炎症性皮肤病,为临床上常见皮肤病之一。年龄分布30-50岁左右,其中女性多于男性。晚期可形成鼻赘,严重影响外观,给患者精神上造成了很大的压力。西医治疗酒渣鼻个体差异小,副作用相对较大。中医学从整体观念为基础,施行个体化诊疗,辨证治疗皮肤病,疗效明显,且无明显副作用。燕京赵氏皮科学派为全国具有代表性的学术流派之一,其学术思想值得后人学习与传承。目的:通过对燕京赵氏皮科流派陈彤云教授与曲剑华教授治疗Ⅰ、Ⅱ期酒渣鼻的处方分析研究其用药规律、临床经验及辨证思路的的共性和差异性。并通过查阅文献学习赵炳南和张志礼两位老前辈的经验,总结出燕京赵氏皮科流派治疗Ⅰ、Ⅱ期酒渣鼻的学术思想。方法:通过收集2017年2月-2018年2月北京中医医院门诊接受陈彤云教授、曲剑华教授治疗的Ⅰ、Ⅱ期酒渣鼻患者处方共100张,通过excel 2010建立数据库,录入处方,患者年龄、性别的信息,依据《中药学》录入药物的性、味、归经及药物类别,进行归纳统计。结果:①陈彤云教授50例患者男女性别比约为1:6.1,平均年龄31.66±9.08岁。处方中含中药75种,共815药次,平均每张处方16.3味药。单味药出现频次最高的三项为丹参、野菊花、生槐花;药性出现频次最高的是寒性药,药味频次最高的为苦味药,归经药物频次最高的为肝经;药物类别使用最高的前三项是清热解毒药、活血调经药和清热燥湿药;处方中共出现四个证型,分别为肺胃热盛证、胃肠湿热证、气血失调证和湿热血瘀证。②曲剑华教授50例患者男女性别比为1:3.5,平均年龄39.80±9.68岁。处方中中药共计76种,总656药次,每张处方平均13.1味药。单味药出现频次最高的三项为鸡冠花、玫瑰花、凌霄花;药性出现频次最高的是寒性药,药味频次最高的为苦味药,归经药物频次最高的为肝经,其次为脾经;药物类别使用最高的前三项是理气药、活血调经药和发散风热药;处方中共出现六个证型,分别为肝脾瘀滞证,肺胃热盛证,湿热血瘀证,气血失调证,阴虚湿热证,胃肠湿热证。结论:两位教授均认为与湿、热、瘀为Ⅰ、Ⅱ期酒渣鼻的主要致病原因。病位在肝、脾胃、心肺,治疗上主要以活血调经、清热解毒、行气止痛为原则。但治疗上各有侧重,陈彤云教授处方偏于清热解毒、凉血活血;曲剑华教授处方偏于疏肝解郁、清热凉血。且均喜用花类药,共同处方为凉血五花汤。"""
Journal Article,王淑惠,2003,陈彤云教授诊治皮肤病经验,皮肤病;中医治疗;老中医经验;陈彤云,"""介绍陈彤云教授诊治皮肤病经验与特色 :辨证辨病 ,互为补充 ;制方效古而不泥古 ;急则治标 ,缓则治本 ;辨证论治 ,整体观念。并列举验案四则 ,以资印证"""
