ID	名医	研究名称	研究类型	方名	疾病	研究方案	资料来源	摘要					
1	赵炳南	凉血五花汤加味治疗玫瑰糠疹46例	随机对照试验	凉血五花汤	玫瑰糠疹	治疗组内服中药凉血五花汤加味煎剂，方剂组成：红花、玫瑰花、鸡冠花、丹皮、赤芍药、连翘各１０ｇ，金银花、白鲜皮、秦艽各１５ｇ，凌霄花６ｇ。加清水浸药１ｈ。后煎取２００ｍＬ，第二次煎取２００ｍＬ，２次所煎药液混合，分早晚２次温服，每日１剂。对照组口服西可韦１０ｍｇ，每日１次。两组均以１５ｄ为１个疗程，治疗１个疗程后观察疗效。	"宋鲁成.凉血五花汤加味治疗玫瑰糠疹46例[J].陕西中医,2012(10):1356-1357."	"目的：观察凉血五花汤加味治疗玫瑰糠疹的疗效。方法：治疗组30例采用凉血五花汤（红花、玫瑰花、鸡冠花、凌霄花等）和对照组21例采用西可韦治疗。结果：治疗组总有效率为93.3%,对照组总有效率52.3%。两组疗效比较,治疗组明显优于对照组（P〈0.05）。结论：凉血五花汤具有清热解毒,疏风凉血,除湿止痒之功效,治疗玫瑰糠疹有明显疗效。"					
2	赵炳南	清热除湿汤治疗急性湿疹湿热证疗效评价	采用随机、单盲、阳性对照	清热除湿汤	急性湿疹	"[方法]采用随机、单盲、阳性对照的方法,120例急性湿疹湿热证门诊患者随机分为治疗组与对照组,治疗组61例口服清热除湿汤(由胆草、白茅根、生地、大青叶、车前草、生石膏、黄芩、六一散组成),对照组59例口服龙胆泻肝汤(由龙胆草、桅子、黄答、柴胡、生地、车前子、泽泻、通草、甘草、当归组成),皮疹局部外用所服中药汤剂第三煎冷湿敷,疗程2周。比较两组总有效率、瘤痒和皮疹改善情况、中医症候疗效。观察两组不良反应。"	"李伯华,曲剑华,张广中,张苍.清热除湿、凉血解毒法治疗癣菌疹体会[J].中医杂志,2014,14:1238-1240."	"【目的】]观察清热除湿汤治疗急性湿疹湿热证的疗效及安全性[方法]采用随机、单盲、阳性对照的方法,120例急性湿疹湿热证门诊患者随机分为治疗组与对照组,治疗组61例口服清热除湿汤(由胆草、白茅根、生地、大青叶、车前草、生石膏、黄芩、六一散组成),对照组59例口服龙胆泻肝汤(由龙胆草、桅子、黄答、柴胡、生地、车前子、泽泻、通草、甘草、当归组成),皮疹局部外用所服中药汤剂第三煎冷湿敷,疗程2周。比较两组总有效率、瘤痒和皮疹改善情况、中医症候疗效。观察两组不良反应。【结果】治疗组痊愈15例,显效10例,有效18例,无效18例,痊愈显效率为4.10%,总有效率(痊愈+显效+有效)为70.5%;对照组痊愈4例,显效10例,有效17例,无效28例,痊愈显效率为23.7%,总有效率52.5%。经xZ检验,=P.0036(p<.005),两组临床疗效有显著性差异。治疗后两组患者皮疹痉痒程度改善上无统计学差异(P>0.05)。两组患者疗前皮疹主症积分(面积+形态十颜色)比较无统计学差异,具有可比性。疗后皮疹主症积分有显著性差异(p0<.01)。两组患者中医症候疗效无明显差异。不良反应:服药期间治疗组有2例患者出现大便塘,1例患者胃院略有不适;对照组有4例患者人便稀澹。未予停药,嘱其饭后温服,略有缓解。本次试验期间,未发现不良事件。[结论]清热除湿汤疗效优于龙胆泻肝汤。清热除湿汤在总体改善皮疹面积、形态和颜色上优于龙胆泻肝汤,在改善瘙痒上"					
3	赵炳南	除湿丸治疗亚急性湿疹湿热证疗效评价	随机、双盲、双模拟、阳性对照	除湿丸	亚急性湿疹	"采用随机、双盲一双模拟、阳性l对照的方法,123例亚急性湿疹湿热证门诊患者随机分为治疗组与对照组,治疗组62例口服除湿丸和湿毒清胶囊安慰剂,对照组61例口服湿毒清胶囊和除湿丸安慰剂,疗程4周。比较两组总有效率、痉痒积分、皮疹面积、皮疹形态、皮疹颜色、中医症候疗效。观察两组不良反应。"	"李伯华,曲剑华,张广中,张苍.清热除湿、凉血解毒法治疗癣菌疹体会[J].中医杂志,2014,14:1238-1240."	"目的 观察除湿九治疗亚急性湿疹湿热证的疗效及安全性 方法采用随机、双盲一双模拟、阳性l对照的方法,123例亚急性湿疹湿热证门诊患者随机分为治疗组与对照组,治疗组62例口服除湿丸和湿毒清胶囊安慰剂,对照组61例口服湿毒清胶囊和除湿丸安慰剂,疗程4周。比较两组总有效率、痉痒积分、皮疹面积、皮疹形态、皮疹颜色、中医症候疗效。观察两组不良反应。[结果1治疗组痊愈n例,显效10例,有效2例,无效19例,总有效率(痊愈十显效+有效)为70.5%;对照组痊愈9例,显效7例,有效20例,无效25例,总有效率59.02%。治疗后两组间疗效比较,差异无统计学意义(阵O,232,P>0.05)。痉痒程度在除湿九治疗组改善较为显著(p<.005)。两组患者在皮疹面积、皮疹形态、皮疹颜色、痊痒程度评分均较治疗前有显著改善(p0<.05)。治疗后两组间皮疹面积、皮疹形态、皮疹颜色经W“coxon秩和检验分值差异均无显著性差异(p二.0338、p二.0542、p二.0816,P均>.005)。不良反应:服药期间治疗组有3例患者出现大便澹,1例患者胃院略有不适;对照组有4例患者大便稀澹,未予停药,嘱其饭温服,略有缓解。本次试验期间,未发现不良事件。"			主体	客体	关系
4	赵炳南	清热除湿汤治疗急性湿疹的疗效观察	随机对照试验	清热除湿汤	急性湿疹	"对照组:口服咪哇斯汀片(西安杨森制药有限公司生产,批号:81010),每日1次,每次10mg。治疗组:清热除湿汤每日1剂,煎2次,分早晚各200ml温服。处方组成:龙胆草10,黄芩10,白茅根30,生地15,大青叶15,车前草30,生石膏30,六一散(布包)30。痒重者162加白醉皮、苦参,大便秘结者加川军。两组病例对于疹痒剧烈者均外用炉甘石洗剂,每天3次搽患处,渗出液甚者用3%硼酸液冷湿敷,每日3次,每次30min。两组均1周为1个疗程,1个疗程对未痊愈者再用1周,2周后判断疗效"	"刘涛峰,张虹亚,冯璐,孙洪波,吴敏,王建峰.清热除湿汤治疗急性湿疹的疗效观察[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:2."				名医	方名	有经验方
5	朱仁康	清热凉血养阴法治疗面部激素依赖性皮炎32例	观察研究	皮炎汤	面部激素依赖性皮炎	基础治疗: 要求患者立即停用糖皮质激素类制剂( 包括抗敏化妆品) ，在治疗刚开始的一段时间内，由于刚停用含有激素的药膏或化妆品，可出现皮疹加重的情况，这是必须经过的一个阶段，不必紧张，要信任医生，坚持治疗，整个疗程一般需要三个月左右，皮疹会慢慢好转。忌食辛辣刺激食物，避免暴晒，冷热刺激，用温水洗脸，外用儿童保湿护肤品。药物治疗: 笔者采用朱仁康的皮炎汤加减: 生地黄30g，牡丹皮 15g，当归 15g，知母 10g，生石膏 30g，玄参10g，麦冬 10g，连翘 10g，竹叶 10g，甘草 10g，每日 1 剂，水煎 3 次，一二煎混匀分早晚 2 次口服，三煎每晚睡前用纱布蘸药液冷湿敷患处 20 分钟。临证时辨证加减:若丘疹明显加双花、紫草清热解毒; 痒甚者加蝉蜕、蒺藜祛风止痒; 若干燥、脱屑明显加芦根、鳖甲养阴润燥;病久不愈，加三棱、生黄芪行气活血。1 个月为 1 个疗程，3 个疗程后随访 1 个月，判定疗效。在治疗期间患者均停用其他中西药物。	"李晓宏.清热凉血养阴法治疗面部激素依赖性皮炎32例[J].光明中医,2013,06:1158-1159."	目的观察清热凉血养阴法治疗面部激素依赖性皮炎的临床疗效。方法采用朱仁康的皮炎汤加减(生地黄、丹皮、当归、知母、生石膏、玄参、麦冬、连翘、竹叶、甘草)治疗面部激素依赖性皮炎32例观察。结果经三个月治疗后，痊愈15例(46.8%)，其中1个疗程痊愈5例(33.33%)，2个疗程痊愈8例(53.33%)，3个疗程痊愈2例(13.33%);有效16例(50%);无效1例(3.12%)。总有效率为96.87%。结论清热凉血养阴法治疗面部激素依赖性皮炎具有独特的优势。			方名	研究名称	有临床研究
7	赵炳南	祛湿健发汤治疗男性型脱发36例疗效观察	观察研究	祛湿健发汤	脱发	祛湿健发汤组成：炒白术15g，泽泻10g，猪苓15g，萆薢15g，车前子10g，川芎10g，赤石脂12g，白鲜皮15g，桑椹10g，干生地12g，熟地12g，首乌藤15g。水煎400ml，每服200ml，每日一剂，分2次于早、晚饭后1小时温服。服药期间饮食宜清淡，忌辛辣刺激之品。连续服用8周。	"蔡念宁,李敏,张广中,王倩,周守红.祛湿健发汤治疗男性型脱发36例疗效观察[A].中华中医药学会皮肤科分会.中华中医药学会皮肤科分会第五次学术年会;全国中医、中西医结合皮肤病诊疗新进展高级研修班论文集[C].中华中医药学会皮肤科分会:,2008:3."	"目的:通过运用赵炳南经验方祛湿健发汤治疗男性型脱发(雄激素源性脱发),观察祛湿健发汤的临床疗效。方法:选取中医证属脾虚湿盛型的脂溢性脱发(雄激素源性脱发)患者,祛湿健发汤连续治疗8周,观察疗效。结果:经服药8周后,脱发改善显效9例,占25%;有效2例,占61.1%;无效5例,占13.9%.头皮油脂减少大于5成的14例,减少2成一5成之间为17例,减少小于2成的5例.结论:祛湿健发汤在改善脱发和减少头皮油脂分泌方面效果较为明显,对其他伴随症状亦有一定的改善作用"			疾病	研究名称	有临床研究
8	赵炳南	全虫方加减治疗老年皮肤痒疹症58例	观察研究	全虫方加减	皮肤痒疹症	治疗方法 全虫方加减：全蝎 5 g，皂角刺 10 g，当归 15 g，乌梢蛇 10 g，苦参 15 g，白鲜皮 15 g，刺蒺藜 15 g，防风 15 g，地肤子 20 g，甘草 10 g。 皮肤痒无定处，挠抓后似有皮屑状，呈明显白色，口干，舌红苔薄黄，脉细数或沉弦数者，全蝎加为 10 g，加蝉蜕15 g、紫草 15 g、浮萍 15 g、竹叶 15 g、栀子 15 g；皮肤瘙痒，抓痕结痂，舌红苔黄腻，脉滑或滑数者，加苍术30 g、栀子 15 g、茵陈 30 g；皮肤瘙痒时轻时重，经久不愈，舌有瘀斑，脉弦细者，全蝎加为 10 g，加郁金15 g、赤芍 10 g、香附 10 g、黄芪 15 g。2．2 制取方法 由本医院中药房按相应制备工艺加工成水剂，每袋 200 mL，每次内服 100 mL，每天 2次，2 周为 1 疗程，服 2 疗程后观察疗效。2．3 注意事项 服药期间忌饮酒类 ，忌辛辣 、鱼 、虾、蟹等发物；嘱患者停用其他药物；内衣要柔软宽松，皮损不宜过度搔抓和热水烫洗	"尚毅,高扬,路建伟,薛长莲.全虫方加减治疗老年皮肤痒疹症58例[J].山东中医杂志,2013,01:27-28."				疾病	方名	有治疗方剂
9	赵炳南	全虫方治疗皮肤瘙痒62例疗效观察	观察研究	全虫方	皮肤瘙痒症	运用全虫方水煎取汁内服、外洗。轻者每日1剂，煎3次，第1汁、第3汁内服，第2汁外洗发病部位。瘙痒重者每日2剂，1剂内服每日2词，1剂外洗发病部位。加减法：瘙痒较重，部位不变，时隐时现，发病迅速者加防风、蝉衣；肢怠懒移，身重乏力，口粘苔腻者加地肤子、木瓜、苍术；烦躁不安，面红肤热，小溲黄赤，答辩密结者加双花、蒲公英、土茯苓；病程较久，瘙痒严重，或见皮损，舌质暗紫或瘀斑者加丹参、赤芍、牛膝。治疗期间禁食荤腥海味及辛辣、酒等；气血虚弱及孕妇慎用。	"徐惠祥.全虫方治疗皮肤瘙痒62例疗效观察[J].甘肃中医,1993,03:27-28."				研究名称	研究类型	有研究类型
10	赵炳南	软疣液外治传染性软疣50例	观察研究	软疣液	传染性软疣	"方药：地肤子20g、狗脊10g，白鲜皮20g，板蓝根20g,木贼草10g，甘草5g。将上药用500ml水煎20分钟，取药液外洗，日2-3次，不加其他治疗。对照组挑疣外涂2%碘酊，日1次。"	"雷文炳,雷全旺.软疣液外治传染性软疣50例[J].中国皮肤性病学杂志,1994,04:255."				研究类型	研究名称	有研究名称
11	王莒生	王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究	随机、双盲、对照	凉血解毒汤$养血解毒汤$活血解毒汤	银屑病	"采用前瞻性、随机、双盲、对照的设计。依照临床流行病学的方法及统计学要求计算样本量,三个证型各例,按比例分为治疗组及对照组,血热证治疗组给予凉血解毒汤内服,血燥证治疗组给予养血解毒汤内服,血疲证治疗组给予活血解毒汤内服,对照组均给予安慰剂内服,安慰剂的形、色、味与治疗药物相近治疗组及对照组均外用白凡士林。疗程周,每周复诊一次,观察病情变化,记录相关指标,治疗前后分别进行安全性检查及皮损照相。痊愈患者在结束治疗后3月、6月、9月、12月进行随访。"	"周冬梅.王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究[D].北京中医药大学,2011."				研究名称	研究方案	有研究方案
12	朱仁康	乌蛇驱风汤加减治疗瘙痒性皮肤病	观察研究	乌蛇驱风汤	单纯性皮肤瘙痒$ 接触性皮炎$ 药物性皮炎$ 神经性皮炎$ 脂溢性皮炎$ 湿疹$ 荨麻疹$ 脓疱疮	"药物组成及加减 :乌梢蛇 20 g , 蝉衣 6 g ,荆芥 、 防风、 羌活各 10 g , 白芷 、 黄连各 6 g ,黄芩 10 g , 银花15g , 连翘 10g , 甘草 6g 。水煎服, 每日 1 剂 。瘙痒甚者加白藓皮、 地肤子、 白蒺藜各 15 g ;干性无渗出者减黄芩、 黄连;湿性有渗液者加黄柏 6 g , 苦参 20 g , 茯苓15 g;血热者加生地 12 g , 赤芍 10 g , 丹参20 g ;血虚风燥者去黄芩 、 黄连 , 加何首乌 15g , 白芍 10 g , 熟地 15 g 。服药期间, 暂停用其他药品, 并禁食辛辣刺激及鱼腥海味之食物。"	"金栋.乌蛇驱风汤加减治疗瘙痒性皮肤病[J].河北中医药学报,2001,04:14."						
13	朱仁康	乌蛇驱风汤治疗慢性胆碱能性荨麻疹56例疗效观察	随机对照试验	乌蛇驱风汤	慢性荨麻疹	治疗组口服乌蛇荣皮汤基本方，疗程为 4 周。乌蛇驱风汤基本方组成: 乌蛇 9g、蝉衣6g、荆芥 9g、防风 9g、羌活 9g、白芷 6g、黄连 6g、黄芩 9g、银花 15g、连翘 20g、甘草 5g。每日 1 剂，水煎 2 次早晚分服。若挟湿，加土茯苓 15g，薏仁15g。若血热明显，加赤芍 10g，丹参 15g。对照组口服氯雷他定片 10mg，每晚 1 次，疗程为 4 周。两组病例在观察治疗期间不联用其他任何药物。	"方镇强,李鸣九,张恒耀.乌蛇驱风汤治疗慢性胆碱能性荨麻疹56例疗效观察[J].四川中医,2011,06:97-98."	目的: 观察乌蛇驱风汤加减治疗慢性胆碱能性荨麻疹的疗效。方法: 112 例慢性胆碱能性荨麻疹患者随机分为两组，治疗组治以疏风清热、败毒止痒之法，采用朱仁康乌蛇驱风汤加减治疗。对照组用氯雷他定片治疗。4 周后评价疗效，痊愈者1 月后评价复发情况。结果: 治疗组治愈37 例，显效6 例，复发4 例。对照组治愈22 例，显效7 例，复发8 例，两组疗效、复发率有显著性差异( P＜0.05) 。结论: 乌蛇驱风汤治疗慢性胆碱能性荨麻疹有良好疗效，值得临床推广使用。					
14	朱仁康	乌蛇驱风汤治疗寻常型银屑病100例	随机对照试验	乌蛇驱风汤	银屑病	治疗组用乌蛇驱风汤：乌梢蛇12g，蝉蜕12g，荆芥9g，防风9g，羌活9g，白芷12g，黄连6g，黄芩9g，金银花12g，连翘9g，甘草9g，水煎2词约500ml，分早、晚2次服，每日1剂。3煎药渣外洗患处。对照组服用消银片，每日3词，每次5片。两组均联用10天为1疗程，服药4疗程进行近期疗效观察，1年后对临床获愈的病例进行随访以评价远期疗效。	"魏峰,张素红,崔云刚,马修谭,韩成森,杜明刚.乌蛇驱风汤治疗寻常型银屑病100例[J].山东中医杂志,1995,04:163-164."						
