ID	名医	学术思想核心	学术思想内容	资料来源					
1	边天羽	"温病学派的基础上独创了气血风热证,注重活血化瘀的临床应用,创立了皮肤科领域中11大化瘀法则。在诊病上注重辨证与辨病相结合,提出了一方一证,总结出40个证,使中医皮肤病理论具体化,并强调辨病要用现代化手段。在治疗上主张取中西医两家之所长。"	"1.师古而不泥于古,创立气血风热证。最早提出气血者是春秋战国时的第一部中医专著《黄帝内经》,里边提及的是物质,是属于人体生命活动的物质基础。而以此作为疾病的不同阶段者,是清代的温病学家,将外感温热病按表及里的不同层次,提出了卫气营血辨证。吴鞠通《温病条辨》一书,有卫分证、气分证、营分证、血分证等众多证型,即使清温败毒饮也只是气血两燔证,均未提出卫气血同病这一证型。边老根据多年积累的大量病例,创造性地提出了气血风热证,其实质是卫气血同病。气血风热证的临床特点为呈现全身发疹性皮肤病,出现红斑或丘疹斑块,发病急骤,皮疹较为广泛,疹色鲜红,多密集分布,大多融合成斑片,甚至全身潮红,皮肤充血明显,压之褪色。但有的气血妄行可致离经之血,临床见皮疹紫红压之不褪色。因热盛肉腐,肉腐为脓,也可表现为局部或全身脓疱。本证伴有口渴,喜冷饮,瘙痒明显,舌绛红,苔黄,脉弦滑有力。这是因为热灼津液,故口干且喜冷饮。在阳明气分热中,可表现为大热、大渴、大汗出、脉洪大。边老认为,此四大证不必悉具。关键要抓住大渴喜冷饮。气分有热,故舌苔黄,热入血分故舌质绛红。瘙痒在皮肤病中是卫分证的重要表现,中医有“风胜则痒”之说,风性善行而数变,故皮肤瘙痒此起彼伏,当治以祛风止痒。上述诸证,体现了卫气血同病即气血风热证这一复杂的证型。边老根据这一独特证型,提出了本证的治法为凉血清热祛风,方剂为凉血消风汤(现制成皮炎2号冲剂)。方中3组药物组成: 一是凉血之品,水牛角、白茅根、元参、生地,配以解毒之金银花;二是清气之品,生石膏、知母; 三是祛风之品,荆芥、防风、牛蒡子。方药组成体现了卫气血三管齐下,给病邪以重创。为了祛邪而不伤正,方中加入白芍而未用赤芍,是依据《本草求真》所云: “赤芍药与白芍药主治略同,但白则有敛阴益营之力,赤则只有散邪行血之意。”用白芍,使本方苦寒凉燥而不伤阴。此外,本方妙在从疾病的发生规律上,对于病邪采用了因势利导的方法,使血分之邪转达气分并从卫分而出,给邪以出路。本方临床疗效很好,对224例红斑皮炎类皮肤病中应用上方治疗,其有效率为87%。
2.病久注重络脉阻,活血又当辨其因。边老在辨证中,尤其是久病之人,注重络脉瘀阻,因此在皮肤病中广泛应用活血化瘀之法。然瘀有各种不同的原因,故临床上边老强调辨证求因,审因论治。根据多年的临床经验,认为瘀证在皮肤病中主要表现为皮肤的紫斑、瘀斑、色素沉着及减褪斑、疼痛、盘状或部位固定的皮诊、皮肤肥厚呈疣状或肥厚发硬的硬皮病样皮损、结节斑片肿瘤与疤痕疙瘩、无名肿胀或皮肤慢性肿胀、顽固性皮肤瘙痒证和疑难复发慢性皮肤病、皮肤功能障碍(肢端血液循环不良,局部血管痉挛性雷诺氏症)。脉象为涩或牢脉,舌象表现为紫色有瘀点。根据中医八纲辨证边老将瘀证分为表证、里证、寒证、热证、虚证、实证。表证主要是风寒袭表,脉络不通。里证指胸中血瘀证。实证有毒热血瘀证、气滞血瘀证。虚证分为脾虚血瘀证、血虚血瘀证、气血两亏血瘀证。寒证分为寒凝血瘀证、脾肾虚寒血瘀证。热证分为阴虚毒热血瘀证、血虚毒热证。边老对瘀证的阐述,为皮肤科灵活应用化瘀法提供了理论依据。
3.辨证辨病相结合,施治博采众家长。边老一生致力于中西医结合治疗皮肤病事业。他认为,辨证与辨病应有机地结合起来,他创立了40首方剂,每一首方剂代表的是一个“证”。
    3. 1　以八纲辨证用方
    表证: 风寒证用麻桂各半冲剂; 风寒血瘀证用永安止痒冲剂;寒凝血瘀证用桂枝红花冲剂。风热证用皮炎1号; 阳明风热证用加减升麻葛根冲剂; 风毒证用消炎1号;兼湿毒用消炎2号; 兼毒热用天疱疮冲剂。
    里证: 热证、热毒血瘀证用痒疹冲剂;血瘀毒热用牛1号;气血风热证用皮炎2号。湿证、湿热证用皮炎3号;肝胆湿热用胆草冲剂;湿热血瘀证用牛2号冲剂; 寒湿证用加减胃苓冲剂。痰饮证用加减小青龙冲剂。
    3. 2　以脏腑辨证用方
   肝证: 肝郁血瘀证用疏肝冲剂、狼2号冲剂; 肝郁生风证用白斑冲剂。
   心证: 心虚血瘀证用心梗再生冲剂。
   脾证: 脾虚湿注证用止泻冲剂; 脾虚血瘀证用过敏性紫癜冲剂; 脾虚肝郁证用皮肌炎冲剂。
   肺证: 热邪雍肺证用肺热冲剂。
   肾证: 肾阳虚证用增高1号;脾肾阳虚证用增高2号; 兼血瘀者用狼3号或白塞氏冲剂; 兼血瘀血虚者用硬皮病冲剂。
   3. 3　以气血辨证用方
   血虚证用当归益气冲剂; 兼血瘀者用治瘊冲剂;兼肾亏者用神应1号; 兼瘀者用神应2号; 兼脾虚者用神应4号。血燥证用牛3号。气血两虚证用十全大补冲剂。气阴两虚血瘀证用狼1号。阴虚毒热血瘀证用四妙冲剂。
   边老依据症状、体征、实验室检查、组织病理、免疫学检查、分子生物学检查,利用尽可能的现代方法,以诊断疾病。对病情急、危、重者,初期多采用西药治疗,中期中西药联合应用,后期用中药治疗,如系统性红斑狼疮、重症药疹中的剥脱性皮炎、中毒性坏死性表皮松解症等。对于一般皮肤病,多采用中西药联合治疗的方法,如湿疹、接触性皮炎、玫瑰糠疹、荨麻疹等。有的则单靠中药来治疗,如带状疱疹、寻常性银屑病、疤痛疙瘩等。施治上强调采众家之长,充分体现了边老治学的科学、务实、严谨。
4.科研寓于临床后,发掘提高方为蹊。
    边老师古而不泥于古,对于临床所得的结果善于进行科学的论证,大胆走创新之路,使中西医达到理论上的结合。边老《中西医结合皮肤病学》一书自序中指出“中西医结合皮肤病学,是中医和西医两套理论结合起来诊治皮肤病的科学。由于中医和西医的理论与诊治方法有其各自独立体系,差别很大,目前进行有机地结合还有相当差距。但在临床上,完全可以广泛采用中西医结合手段来治疗皮肤病,以便发挥两者之长,取长补短,得到更好的疗效。”此时,边老注重的是治疗上的结合。时隔7年之后的今日,他又明确提出了一个新的论点,指出对于中药治疗的结果,进行试验室的研究,以此来揭示中药的作用机制,进而揭示中医“证”的实质。这一思想,为中西医从理论上的结合找到了一条蹊径。在这一思想的指导下,使中医理论得到了质的提高。在边老指导下有人对于系统性红斑狼疮病人血清中的抗核抗体及r 球蛋白与中医辨证分型和肝肾损害的关系进行研究,发现红斑狼疮中肝脏损害者AN A滴度在1∶ 320～ 1∶ 640( 45.3% ) ,肝脏损害在中医辨证分型上多属中医的瘀证为主,占62. 5% ,临床采用疏肝冲剂能收到良好疗效。证实了狼疮的肝损害与中医肝郁血瘀的相关性。几年来,在边老的指导下,先后有7项科研取得成果,其中2项获天津市科技进步二等奖。
     综上所述,边老在温病学派的基础上独创了气血风热证,注重活血化瘀的临床应用,创立了皮肤科领域中11大化瘀法则。在诊病上注重辨证与辨病相结合,提出了一方一证,总结出40个证,使中医皮肤病理论具体化,并强调辨病要用现代化手段。在治疗上主张取中西医两家之所长。这些独具匠心的学术思想,将启迪后人在皮肤病领域,沿着中西医结合的道路不断前进。
"	"乔树芳. 边天羽学术思想经验简介[J]. 天津中医,1998,01:7-9."					
2	陈凯	胃肠-皮肤相关理论	凯老提出“胃肠－皮肤相关论”，治病重视胃肠功能的调节。他说，胃肠是人体最大的免疫器官，皮肤病多与免疫相关， 所以治疗皮肤病必须注意调理脾胃，使其升清降浊，气机通畅。凯老常说，胃肠与皮肤是一体两面，一阴一阳，胃肠为里，皮肤为表；胃肠为本，皮肤为标；胃肠受纳水谷，皮肤宣发营卫。凯老将大量调理脾胃的古方移植到皮肤病的治疗中， 皆获良效，常用的有半夏泻心汤、痛泻要方、泻心汤、芩连平胃散、六君子汤、参苓白术散等，常用于痤疮、湿疹、荨麻疹、特应性皮炎的治疗。凯老讲，脾为后天之本， 皮肤病的发生都是在一定的脾胃功能基础上感受外邪发生的， 人体对外来邪气做出何种程度的反应决定于脾胃的强弱。而脾胃失调绝对会造成已发生的皮肤病倾向于顽固难愈。凯老观察到现代人由于饮食不节，生活无规律，导致脾胃失调。这往往成了皮肤病的症结所在，这样的人患皮肤病，往往顽固难愈。凯老注意到许多慢性荨麻疹患者，舌质淡胖而舌苔厚腻，同时伴有胃肠症状，化验检查有幽门螺杆菌感染，针对于此，他常选用芩连平胃、半夏泻心、甘草泻心等汤药而获良效。他常说，西医治疗荨麻疹常用H1 受体阻滞剂，遇到顽固者，则会联合应用H2受体阻滞剂，那不也是阴中求阳吗？	"张苍.多思善悟广纳百家——陈凯教授生平与学术[J].北京中医药,2009,11:850-851."			主体	客体	关系
3	陈凯	皮肤络病理论	 凯老提出“皮肤络病理论”，并在临床中提出了增液行舟、润通养颜、活血通络之法。他经常与吕培文教授探讨外科疮疡、血管炎的证治，对我保存的陈淑长教授治疗周围血管病的临床记录， 他曾仔细研读，加以批注。他随时关注学术进展，在络病学说刚刚提出之时即敏感地注意到。他结合皮肤科特色，提出自己的见解，用于治疗多种皮肤疾病，行之有效。他常引述赵老观点： “痒为痛之渐”，既有“不通则痛”“不荣则痛”“久痛入络”之说，那么也可以说“不通则痒”“不荣则痒”“久痒入络”。赵老提出结节性痒疹等顽湿疡即为久痒入络，凯老则应用系列方药，将此理论扩展到包括黄褐斑、口腔黏膜病、银屑病、皮肤血管炎、斑秃、脱发、扁平苔藓、胶原病、带状疱疹后遗神经痛等多种疾病的治疗，均收良效。就增液行舟一项，凯老又有大增液、小增液之分。从狭义讲，增液汤、四妙勇安汤、顾步汤、解毒养阴汤是凯老最常用的增液法；从广义说，一贯煎、坤宝丸、益胃汤、滋补肝肾丸、天王补心丹、六味地黄丸、四物汤等药物均属于他增液行舟的范畴。例如他对于白塞氏病治疗颇有心得，其基础方就是顾步汤和滋补肝肾丸。	"张苍.多思善悟广纳百家——陈凯教授生平与学术[J].北京中医药,2009,11:850-851."			名医	学术思想核心	有学术思想
4	陈凯	清调补理论	“清调补理论”针对正邪斗争的不同状态。邪气实则清，在皮肤科领域包括清肺、清胃、清心、泻肝、凉血、解毒、除湿、散风；正虚邪实则调，包括调脾胃、调冲任、调神、调免疫、调内分泌；正虚邪去则补，包括补气、补血、补肝肾。其最要者，清肝胆，调脾胃，补气血。凯老生前多次谈到赵老最常用的三个方子龙胆泻肝汤、除湿胃苓汤、当归饮子，这三首方剂常顺序应用于湿疹的治疗， 凯老指出这三首方剂是清调补的代表方。凯老说：治病必须节奏鲜明，能在恰当的时机当机立断，调整治疗方案，对于急性皮肤病往往能以龙胆泻肝汤取效， 对于慢性皮肤病则多以当归饮子收功。凯老指出：皮肤病虽发于外，而多源于内，如果脏腑功能基本正常，则正邪相争，斗争剧烈，往往表现为实证，多属龙胆泻肝汤证。而脏腑功能失调，则往往因邪正斗争不够剧烈而表现为虚实夹杂，多属脾虚湿蕴之除湿胃苓汤证。因而凯老临证治疗皮肤病，不仅将此三方用于治疗湿疹皮炎类皮肤病，也是银屑病、荨麻疹的常用效方。	"张苍.多思善悟广纳百家——陈凯教授生平与学术[J].北京中医药,2009,11:850-851."					
5	陈彤云	强调整体与辨证	"陈彤云在诊治疾病时重视人与自然、气候、环境、季节的协调统一，重视皮肤与脏腑、经络、气血的联系，强调“没有内患不得外乱”。她认为，体表的病变必有内在的根源，皮科疾病应重视外治，但更不可忽视五脏六腑和气血阴阳的盈亏盛衰。她根据《内经》“诸痛痒疮皆属于心……皆属于火”的理论，认为痤疮等颜面炎症性皮肤病多由热邪作祟；她受家父温病学派思想的影响，从整体观出发，认为气候的变暖使六淫之中热邪更多地侵袭人体；生活水平的提高使人们的饮食结构发生变化，肥甘厚味食物的摄入大大增加，致使人体内有积热，从而更易受到热邪的侵袭；社会变革的动荡，生活节奏的加快，工作压力的增加，易使精神紧张和压抑，按照中医五志皆可化火的理论，也使火热之邪成为颜面炎症性疾病的主要致病邪气。她根据中医五色应五脏的理论，肝主青，脾主黄，肾主黑，认为黄褐斑等色素性增加的皮肤病主要与肝、脾、肾有关；肾藏精，精生血，脾统血，肝藏血，所以肝、脾、肾三脏功能失调必致气血失常，运行障碍。因此，黄褐斑等色素增加的皮肤病多有气滞血瘀，提出“无瘀不成斑，有斑必有瘀”、“治斑不离血”、“久病必瘀”的中医病机和治疗观点。她临证时四诊合参，但尤重舌诊。她认为，舌与皮肤粘膜最易反应人体气血盛衰和运行情况，且心开窍于舌，脾开窍于口，望舌可以直观、真实地了解内脏和皮肤的变化。
　　在损容性皮肤病的治疗中，她善于运用《伤寒论》、《金匮要略》和《温病条辨》的方剂为基础进行加减，并形成了自己的用药特色。例如，她在黄褐斑等色素增加的皮肤病治疗中，主要用脏腑辨证的方法，以滋补肝肾、疏肝解郁、健脾益气为主，同时活血化瘀，常用逍遥散、六味地黄丸、金匮肾气丸、二至丸、二仙汤、枇杷清肺饮、泻心汤、黄连解毒汤、龙胆泻肝汤、当归四逆汤、归脾汤、桃红四物汤、失笑散、通窍活血汤等加减。在损容性皮肤病的治疗中，据其对此类疾病多热邪所致的认识，常用清热解毒法，同时，佐以凉血、除湿、理气、软坚诸法，常获显著疗效。

"						
6	陈彤云	主张师古加创新　　	"在继承哈家中医皮外科传统外用制剂的用药经验基础上，陈彤云凭借自己掌握的传统中药制剂工艺、方法的优势，依据对中药的药理学研究成果，从中筛选出最有效的成分，再运用现代制药技术工艺，提取药物有效成分，制成各种外用制剂。使中药外用制剂既保持了中药特有的疗效，又克服了传统制剂粗糙、油污、色深、味重的缺点。
"						
7	陈彤云	"重视人与自然、气候、环境、季节的协调统一, 重视皮肤与脏腑、经络、气血的联系"	"陈彤云在诊治疾病时重视人与自然、气候、环境、季节的协调统一, 重视皮肤与脏腑、经络、气血的联系, 强调“ 没有内患不得外乱” 。她认为, 体表的病变必有内在的根源, 皮科疾病应重视外治, 但更不可忽视五脏六腑和气血阴阳的盈亏盛衰。她根据了内经》“ 诸痛痒疮皆属于心… … 皆属于火” 的理论, 认为座疮等颜面炎症性皮肤病多由热邪作祟; 她受家父温病学派思想的影响, 从整体观出发, 认为气候的变暖使六淫之中热邪更多地侵袭人体; 生活水平的提高使人们的饮食结构发生变化, 肥甘厚味食物的摄人大大增加, 致使人体内有积热, 从而更易受到热邪的侵袭; 社会变革的动荡, 生活节奏的加快, 工作压力的增加, 易使精神紧张和压抑, 按照中医五志皆可化火的理论, 也使火热之邪成为颜面炎症性疾病的主要致病邪气。她根据中医五色应五脏的理论, 肝主青, 脾主黄, 肾主黑, 认为黄褐斑等色素性增加的皮肤病主要与肝、脾、肾有关; 肾藏精, 精生血, 脾统血,肝藏血, 所以肝、脾、肾三脏功能失调必致气血失常, 运行障碍。因此, 黄褐斑等色素增加的皮肤病多有气滞血痪, 提出“ 无疲不成斑, 有斑必有癖” 、“ 治斑不离血” 、“ 久病必疲” 的中医病机和治疗观点。她临证时四诊合参, 但尤重舌诊。她认为, 舌与皮肤粘膜最易反应人体气血盛衰和运行情况, 且心开窍于舌, 脾开窍于口, 望舌可以直观、真实地了解内脏和皮肤的变化。"	"丹瀛.彤云飘逸杏苑增辉——访中医皮肤病专家陈彤云主任医师[J].中国中医药现代远程教育,2003,07:26-28."					
8	陈彤云	五脏六腑病理变化与皮肤病	"1.心与小肠心主血脉, 其华在面;心主神明, 开窍于舌。小肠的主要功能是分别清浊, 吸收营养, 下输水液于膀胱。心主血脉, 血液的循行有赖心气的推动, 心气旺盛则面部红润光泽;若心气虚则面色白, 失去健康的面色, 甚至出现青紫的病色。心主神志, 若情志抑郁化火, 或过食辛热、炙, 使心火炽盛, 则常导致口舌生疮、糜烂, 或皮肤红斑成片, 灼热而痒, 心烦不宁;若心移热于小肠, 熏蒸水液, 可导致尿少热赤、皮肤肿胀、水疱等。皮肤疖肿、毛囊炎、湿疹、皮炎等急性化脓性、瘙痒性皮肤病多与心经火热有关。2.肺与大肠肺主气, 司呼吸, 主宣发肃降, 外合皮毛, 开窍于鼻。肺的宣发功能使水谷精微输布于皮毛, 滋养周身的皮肤、毛发、肌肉;若肺气虚, 或外邪入侵, 由皮毛而犯肺, 宣发不利, 使水谷精微不能输布、营养肌肤, 则皮毛憔悴、枯槁。肺经起于胸中, 上行过胸, 开窍于鼻;若肺经热盛, 常循经上扰, 致胸、面皮肤红斑、脱屑、灼痒。肺与大肠相表里, 肺失宣降, 或肺经风热常会影响大肠传导糟粕的功能, 出现大便秘结,热毒无以排泄, 走窜肌肤。在临床上, 面部的痤疮、酒鼻、脂溢性皮炎、口周皮炎、皮肤疖肿等多与肺经的风热有关;荨麻疹、血管性水肿以及具有结节性损害的皮肤病等, 多与肺失宣降、气机不畅、痰湿凝结有关。3.脾与胃脾主运化, 统血, 主肌肉四肢, 开窍于口, 其华在唇。胃主受纳、腐熟水谷。饮食的正常受纳, 水谷精微物质的吸收、输布, 水湿的运化、排泄均有赖于脾胃功能的旺健, 故有脾为后天之本之说。若脾胃功能失常, 则全身肌肤失去水谷精微的滋养, 肌肤枯槁无泽, 萎黄干燥, 爪甲苍黄不荣, 毛发枯萎、脱落。若水湿运化不力, 停留体内, 内困脾脏, 外淫肌肤, 则皮肤肿满、糜烂渗出。若脾气虚, 无力统血, 则可见血不循经、游溢脉外的皮下紫癜。湿疹、天疱疮、带状疱疹等水疱性、糜烂渗出性皮肤病多与脾虚湿盛相关, 异位性皮炎、神经性皮炎、瘙痒病、色素性皮肤病以及鱼鳞病等干燥、瘙痒性皮肤病则多与脾虚运化不力的“藜藿之亏” 、肌肤失于水谷精微的荣养有关, 皮肤紫癜、牙龈出血等血溢脉外之病常是脾不统血之故。4.肝与胆肝主藏血, 主疏泄, 主筋, 其华在爪, 开窍于目。胆为“中精”之府, 主决断, 参与人的精神活动。肝胆互为表里。对于肌肤毛发来说, 肝藏血的功能正常,其调理疏泄气机的功能, 对维持气血的顺畅运行, 保证肌肤、筋脉得到充足的血液营养, 是十分重要的。若肝藏血不足, 则肌肤得不到阴血滋养, 常致肌肤甲错、粗糙, 毛发枯槁、脱落;若肝的疏泄功能失常, 导致气机紊乱, 气血悖逆, 则皮肤失泽、无华;肝不藏血, 血不荣筋, 则使筋失所养, 爪为筋之余, 故爪甲失荣;若肝气郁滞, 郁而化火, 致肝经热盛, 肝风内动,常引起风盛瘙痒。在临床上, 凡急性、泛发性的皮炎、湿疹, 或疱疹性疾病, 常与肝经的风热或湿热有关;而色素性、肥厚性、结节性皮肤病, 如黄褐斑、扁平疣、指甲营养不良等, 又多与肝失疏泄、气滞血瘀, 或肝不藏血、阴虚血燥、筋脉肌肤失养有关。5.肾与膀胱肾主藏精, 主骨生髓通于脑, 又主纳气、主水, 开窍于耳及二阴, 其华在发。肾主藏先天之精, 精能化气, 精血互生, 是人体生长发育的原动力。因此, 肾又称为“先天之本” 。禀赋强弱常常决定人的生长、发育和疾病的发生、转归。肾精充盛, 则肾气充实;否则, 肾气就虚, 常常导致生长发育的迟缓, 或膀胱气化不利, 开阖失司, 在肌肤则出现皮肤黯黑不润,毛发细弱稀疏等。许多具有遗传性质的皮肤病大多与肾精不足有关。在临床实践中, 一般先天性、色素性、慢性皮肤病常由于肾阴虚或肾阳虚, 如雀斑、黄褐斑、色痣等;而自身免疫性皮肤病, 如红斑狼疮、皮肌炎等, 亦多与肾精的亏损, 肾阴、肾阳的虚衰有关。"	陈勇.五脏六腑病理变化与皮肤病——陈彤云治疗皮肤病理论浅析  北京中医 2004，23（4）：214-215					
9	陈彤云	强调中医整体观和辨证论治；在损容性皮肤病的治疗中重视外病内治；师古而不泥古，师古而创新；强调精神内守、劳逸有度及科学营养，是预防皮肤病和皮肤保健的关键	陈彤云是国家中医药管理局第三、四批老中医药专家学术经验继承工作指导老师，著名中医皮外科的专家。她深得其父陈树人和公公哈锐川、丈夫哈玉民等中医名家的真传，不仅继承和发扬了哈家在中医皮外科领域的丰富经验，对外科疮疡和各种皮肤病的治疗颇具效验，并逐步形成自己独到的以中医整体观为基础、突出辨证论治思路，重视外病内治的治疗损容性皮肤病的临床特色。认为火热之邪是颜面炎症性皮肤病的主要致病邪气，损容性皮肤病者多有气滞血瘀，提出“无瘀不斑”的中医病机学流。临证治疗颜面炎症性皮肤病，多以清热解毒为主；色素增加性皮肤病则以疏肝补肾、健脾益气为主，辅以行气活血化瘀之法；并注重对肾、脾二脏的调护。在皮肤病的预防上强调精神内守、劳逸有度和科学营养。	"刘清. 陈彤云防治损容性皮肤病学术思想特色[J]. 北京中医药,2009,12:929-930."					
10	陈彤云	"辨证论治, 整体合一。急则治标, 缓则治本。四诊合参, 尤重舌诊。辨证辨病, 互为补充。师古创新, 灵活运用。中焦为枢, 重视胃气。巧用外治, 改进剂型。"	"辨证论治, 整体合一。    陈教授常讲: “ 辨证论治和整体观是祖国医学的精髓, 《内经》云有诸内必形诸外。故不要把皮肤病看成是简单的皮肤损害, 外在的皮损往往是由内因造成的, 是脏腑气血阴阳失调的外在表现。” 陈教授在治疗皮肤病时, 强调辨证准确, 注重外病内治, 常通过内服药调整脏腑阴阳气血而获效。如神经性皮炎, 陈教授认为此病多因情志内伤, 风邪侵扰以致营血失和, 经脉失疏; 或有脾湿不运, 复感风邪而发病; 或内衣领口摩擦; 或机械性刺激, 反复搔抓所致。如症见皮损色红, 伴心烦易怒、精神抑郁、失眠多梦、口苦咽干、舌质红、脉弦等症, 陈教授以为证属情志内伤、肝郁化火。陈老治以疏肝解郁、凉血疏风泻火。若症见皮损淡褐, 肥厚粗糙,剧烈痉痒, 人便塘薄。舌苔自腻或薄白, 脉濡缓。 陈老则辨为脾湿不运、外感风邪型。治宜健脾利湿、养血疏风为法则。 急则治标, 缓则治本：陈教授常说: “ 标与本是相对而言的, 从疾病的发生顺序来说, 原发病是本, 继发病是标。治标与治本, 就是对证与对因的治疗原则。治病求本是医者之理想, 然病情万变, 其本难求。许多慢性皮肤病患者, 在长期的治疗过程中, 可能会出现复杂的变化, 当出现新发病时必须急则治标, 。在患者万分痛苦之时, 病情十分危急之际, 不可不思以救急之法。先解除痛苦, 缓解病情, 再徐图调养之道。” 如在治疗急性刺激性接触性皮炎时, 由-T 这些疾病发病迅速, 局部红肿糜烂明显, 有时控制不及时可波及全身, 此时陈教授常用重剂清热凉血解毒之品, 独治其标。若皮损肿胀、糜烂、色红、渗出多时, 则采用中药煎水冷敷局部以救急, 同时积极寻找并去除致敏原。此时可不必顾及其素体的强弱虚实。而有些老年体弱者患带状疤疹, 在疤疹消退后常遗有神经痛, 陈教授在治疗这些病人时认为: 虽然疼痛是由于余毒未清, 气虚血滞所致。但根本原因是老年人体弱气虚, 不能驱邪外出, 故必以扶正补虚为主, 重用补气药, 以培中气, 缓则治本, 往往收到奇效。
    四诊合参, 尤重舌诊：陈教授诊病, 重视望闻问切四诊合参, 但也抓住重点。陈教授在辨证时尤重舌诊。常言:“ 舌为心之苗, 义为脾之外候, 苔是胃之气。” 她认为观舌可判断外邪之轻重、正邪之消长和病势的进退以及胃气的存复情况。如湿热证初起见薄白、白滑或白腻苔时, 说明湿重热轻; 舌苔黄腻、黄滑, 表明湿热并重: 黄腻而燥, 则为湿热化燥。察舌质的变化, 以红、绛、光、裂、淡、嫩和燥润来区分热、燥、津伤的程度及脏腑气血的盛衰。尤其是肠胃疾患, 很能从舌诊上反映出来, 像黄苔主脾胃病、热证、里证; 白厚腻苔为中阳不振, 以致饮食停滞或湿浊郁积, 上溢于苔。
    辨证辨病, 互为补充：随着现代_ 卜业、科技的飞速发展以及环境、资源等问题的日益突出, 皮肤病逐渐增多,也出现了一些前人没有遇到过的新问题、新病种, 如染发剂造成的皮炎、化妆品皮炎、放射性皮炎、艾滋病等。陈教授认为在辨证的同时还要结合现代病的特点, 对疾病做出明确的诊断, 辨证与辨病二者同等重要, 互为补充。辨证是宏观的、针对疾病的性质而言; 辨病则相对是微观的, 指疾病的病理形态、病因而言。在临床上陈教授辨证与辨病结合, 相辅相成。在治疗上陈教授也很重视辨证论治与中草药的现代药理研究成果相结合。如治疗寻常性痊疮时, 她在辨证分型用药的同时, 还注意结合应用现代药理研究证实有抗痤疮丙酸杆菌作用的清热解毒的中药。
    师古创新, 灵活运用：荨麻疹是常见的皮肤过敏性疾病, 中医称“ 隐疹” 、“ 赤白游风” 。《诸病原候论。风痉身体隐疹候》指出: “ 邪气客于皮肤, 复逢风寒相折, 则起风痰隐疹。” 陈教授认为本病总由风邪郁于皮毛胰理之间所致。或因享赋不耐, 又食鱼虾等腥荤动风之品; 或素体虚弱, 卫表不固, 又感风热、风寒之邪。临床如见荨麻疹起病急骤, 皮疹色赤, 剧痒灼热者, 陈老辨为风热袭表, 治以辛凉透表、宣肺清热, 方以银翘散加减; 如皮疹色淡, 遇风冷加重, 得热则轻。则证属风寒束表, 当辛温解表、宣肺散寒, 以麻黄汤、桂枝汤加减。麻黄汤、桂枝汤、银翘散均为治疗外感发热的名方, 三方作用的共同点是疏散表邪, 正是抓住了这一关键, 陈教授才大胆“ 拿来” , 将这三方用于治疗荨麻疹。正如她所说: “ 不拘时方经方, 只要对证即可应用。”
   中焦为枢, 重视胃气：脾胃为后天之本、气血生化之源。祖国医学极为重视脾胃在生理病理中的重要意义。陈教授对《内经》关于“ 有胃则生, 无胃则死” ; “ 得强则生, 失强则死” 的理论有深刻的体会。临证十分重视患者的年龄和体质, 尤其针对老年和幼儿患者的生理特点, 在应用清热苦寒药物的同时, 常酌情加入培补脾土、健脾渗湿、燥湿利湿之品, 以顾护中焦, 扶正祛邪。在皮外科疾病中正虚邪实者辨治最难。如对年高体弱的蜂窝组织炎的病人, 出现漫肿久不溃破或出脓较少者; 气血虚亏的淋巴结核、深部脓肿、卜肢溃疡、深静脉炎、雷诺氏病、硬皮病、硬结性红斑、皮肌炎、慢性湿疹、异位性皮炎等病, 陈教授必以扶正为主, 祛邪为辅。临症时常告诫我们要注意培补脾土, 脾胃健运, 中气复旺, 四旁得溉, 气血阴阳得和,正气足, 邪乃去。
    巧用外治, 改进剂型：近年来, 陈教授凭借自己多年的临床经验, 筛选出一批对常见损容性皮肤病有独特疗效的中药, 并对外用剂型作了大胆的改革, 研制出“祛斑粉” 、“祛斑霜” 、“ 祛斑增自面膜” 、“痤疮面膜” 、“痤疮霜” 及中药洗面奶和防晒霜等系列药品。其中“祛斑增白面膜” 获1 9 9 3年北京市中医管理局科技成果一等奖。正如陈老强调的“ 外病内医, 不忘外调”, 外用制剂简单方便实用, 可直达病所。
"	"曲剑华,姚卫海,王萍,蔡念宁,陶毅.陈彤云学术思想及用药经验[A].中华中医药学会.中华中医药学会学术会议、国家中医药管理局继续教育项目——银屑病中医药防治交流会暨赵炳南学术思想高级研修班论文集[C].中华中医药学会:,2011:5."					
