Reference Type	Author	Year	Title	Keywords	Abstract
Journal Article	钱江杨柳	2005	当代名医论治带状疱疹经验荟萃	张志礼;刘再朋;沈汝才;刘复兴;陆德铭;侯平玺;带状疱疹;辨证论治	
Thesis	林子量	2021	甘草润肤膏外用治疗手足皲裂的临床疗效观察	甘草润肤膏;手足皲裂症;中药外治;赵炳南;张志礼	"手足皲裂症是临床常见的角化性皮肤疾病,具体可分为手部皲裂和足部皲裂。本病多好发于秋冬季节,主要表现为干燥增厚的皮肤角质层在温度变化、机械性摩擦、受压或接触化学性清洁剂等因素影响下逐渐出现沿皮纹分布的细小裂隙,并进一步增长越深。但疾病初期除皮肤外观变得粗糙不美观外,并无其他明显症状,大部分患者均不甚重视,直至裂纹加重伴有疼痛、出血等表现,为患者的起居生活带来不少困扰和痛苦,并严重干扰他们的工作学习。此外手足皲裂亦可作为临床症状与其他皮肤病同时出现,如湿疹、冻疮、鱼鳞病、掌跖角化症等,临床上应加以区分鉴别。目前治疗手足皲裂症临床常见药物包括尿素、水杨酸、糖皮质激素等,主要有润肤、角质松解、愈裂止痛等功效。中医方面本病又称为“皲裂疮”,古时相关病名记载包括:“裂口疮”、“干裂疮”、“龟手”、尸脚”、“肉裂”、“手足皲裂”、“裂手裂脚”等。中医方面主要考虑本病由于气血失和,外感风寒,血瘀凝滞,肌肤失养所致,辨证属血虚风燥证或脾虚血燥证。治疗可予局部外用油脂润肤生肌,配合内服健脾益气,养血润燥之品如归脾汤、当归饮子等。本次研究主要观察对象甘草润肤膏乃用甘草油为底方,配合《证治准绳》记载“一上散”(苦参、白芷、火硝、枯矾、荆芥穗、寒水石、白及)为基础加减而成,结合现代科技,以乳膏形式呈现,主要有清热润燥、止痒愈裂之效。目的:采用随机对照试验,初步评价甘草润肤膏对治疗手足皲裂症患者的疗效。方法:自2020年12月至2021年4月于我院门诊招募符合手足皲裂症诊断患者共34名,按随机数字表分为试验组和对照组进行观察(受疫情原因未能招募足够受试者,实际完成例数29人,分别为:试验组14人,对照组15人)。试验组应用甘草润肤膏,对照组则应用尿素软膏,针对较严重的Ⅱ、Ⅲ度患者加用封包、修剪磨皮治疗。14日为1疗程,共治疗2个疗程,如受试者于1疗程治愈则提前结束观察。对试验组和对照组分别就用药后疗效进行相关评估及分析讨论。结果:在2观察周期结束后,试验组和对照组的显效率分别为50.00%和46.67%(P=1.000),总有效率为92.86%和80.00%(P=0.598),两组间进行比较,结果未有统计学上差异。试验过程中两组受试者均未发生明显不良反应。结论:本研究暂未能证明甘草润肤膏整体疗效较尿素软膏为佳,未来可进一步完善相关研究以证明甘草润肤膏可作为临床治疗手足皲裂的更佳选择。问题与展望:未来应加强对患者的教育,使患者对疾病有更深认识,重视对待,按时用药,加强对皮肤的养护,避免因皮肤干燥而出现手足皲裂。"
Conference Proceedings	周垒	2011	怀念恩师张志礼——张志礼教授治疗黄褐斑经验		"<正>张志礼教授是我的研究生导师。老师过世已经10年多了,但是他对我的影响将伴随我的一生。得知北京中医医院组织这个专题报告会,我跟随老师学习的事情又一一闪现在眼前。第一次听说张老师的名字,是我在解放军总医院皮肤科大学毕业实习期间。当时我有幸经常跟随总医院皮肤科的漆军主任学习,一次聊天,他对我说,如果以后要想考研究生,最好能跟随张志礼主任深造。因为张主任是赵炳南的学生,在中西医结合皮肤病领域很有成就。"
Journal Article	刘昶; 苏婕; 周冬梅	2021	基于数据挖掘探究张志礼治疗变态反应性皮肤病的用药规律	张志礼;变态反应性皮肤病;用药规律;数据挖掘;关联规则;熵聚类	"目的应用中医传承辅助系统(V2.5)分析张志礼先生治疗变态反应性皮肤病的用药规律。方法选取《张志礼皮肤病医案选萃》《张志礼皮肤病临床经验辑要》《张志礼皮肤病临证笔谈》及《精诚大医张志礼》四本书籍收录的治疗变态反应性皮肤病的验案处方62首,录入中医传承辅助系统(V2.5)以分析张老治疗变态反应性皮肤病的用药规律。结果通过对验案中所载62首处方进行分析,筛选用药频次≥14次的药味共20味,药物关联分析显示置信度较高的药物组合包括""苦参-白鲜皮""""黄芩-生地黄""""白术-薏苡仁""等,熵聚类分析显示的高频药物组合包括""石膏-白茅根""""当归-首乌藤""等,复杂网络分析显示的核心处方可分为清热解毒、健脾除湿、养血疏风3大类。结论张老用药常以攻补兼施、气血并治为特点,形成了独特的气血津液辨证体系。"
Conference Proceedings	杨慧敏	2011	继承张志礼主任学术思想之有感		"<正>北京中医医院皮肤科是一个有中医及中西医结合雄厚实力的科室,有以赵炳南老专家为代表的一代人才为中医皮肤科奠定的坚实基石,又有以张志礼主任为代表的后一代为中西医结合皮肤科开拓的广阔背景,使我院皮肤科一直处在学科领域的重要地位。张志礼主任为中西医结合皮肤科学术方面做出了重要贡献,我们这一代后人是在这种坚实的基础上发展到今天的。作为中西医结合的大师,张主任教给我的最主要学术思想是以中医和西医的病因病机来结合中医的辩证施治,以达到更好疗效,这是中西医结合的精髓,也是中西医交流的基础。"
Journal Article	王萍; 张芃	2008	缅怀恩师张志礼教授		
Thesis	刘涛	2017	皮肤“癣”类病名考证及其规范研究	皮肤癣病;考证;规范;疾病史	"皮肤“癣”病概念内涵有三:一是“西医之癣”,指真菌感染导致的皮肤病;二是传统的“中医之癣”,包罗范围甚广;三是一般口语所说的“皮肤癣病”,可泛指一切皮肤疾病。目前,中医学界通行的是第一个内涵,反映了中医学术的异化。本论文考证范围包括大部分的“西医之癣”(白秃疮、肥疮、鹅口疮、圆癣、紫白癜风、阴癣、鹅掌风、脚湿气、灰指甲、癣),部分“中医之癣”(吹花癣、奶癣、牛皮癣、乳头风、蛇皮癣、湿疮、白庀、松皮癣),以及部分“皮肤癣病”(肾囊风、四弯风、紫癜风)。论文分七个部分。第一部分为皮肤“癣”类病名考证现状的综述。第二部分是绪论,界定“癣”的概念,阐述本研究的目的、意义,介绍有关研究方法及其运用举例。第三部分分别考证人体各部位之癣,包括头部之癣:白秃疮、肥疮;面部之癣:吹花癣、奶癣;口腔之癣:鹅口疮;颈项之癣:牛皮癣;躯干之癣:圆癣、紫白癜风、乳头风;阴部之癣:肾囊风、阴癣;四肢之癣:四弯风、蛇皮癣;手足之癣:鹅掌风、脚湿气、灰指甲;发无定处之癣:湿疮、白庀、松皮癣、紫癜风;“癣”病病名考证。第四部分为皮肤“癣”类病名规范研究,提出皮肤“癣”病体系性问题,指出当前的皮肤癣病内涵存在的问题,并根据考证收集的资料,提出规范病名。第五部分是总结,概述考证的新发现、不足之处,及今后研究的设想。第六部分为参考文献。第七部分为附录,辑录了皮肤“癣”类的相关资料。本文的创新之处在于:考证清楚各种皮肤癣病病名的历史演变,对其历史发展沿革有了较为清晰的认识;关于各项“癣”病的一系列考证形成了一个有机整体;考证工作对于皮肤“癣”病有了新的更深入的认识;提出了规范病名,为名词术语规范化课题服务,如考证为“腊梨”代替“肥疮”作为规范病名提供学术支撑;考证出了 15个同名异病的中医学名词。"
Journal Article	王萍	1998	皮科名医张志礼	皮肤科疾病;名老中医经验	张志礼教授１９３０年出生，山西原平人。１９５５年毕业于西安医科大学医学系，毕业后一直从事皮肤病临床工作。１９５７年在中央皮肤性病研究所深造进修一年，１９５９年初参加了北京第一批中医研究班，全面系统地学习了三年中医知识。他刻苦学习，熟读经典，深究医理，...
Conference Proceedings	陈学荣	2011	学习张志礼教授把赵炳南学术思想发扬光大		"<正>张志礼教授是我们的良师益友,他1955年毕业于西安医科大学医学系,59年参加并京首届西医离职学习中医研究班,系统学习中医3年,他毕业后师从著名中医赵炳南教授,他曾长期跟随赵炳南老师临床应诊,作为赵炳南的弟子,他深得赵氏的真传,他精通本专业的中西医基础理论,有丰富的临床经验,他总结整理继承了赵老的学术遗产,并把他发扬广大。"
Journal Article	席榕; 杨磊; 朱慧婷; 李伯华; 金奇英; 曲剑华; 陈彤云	2022	燕京赵氏皮科流派论治神经性皮炎的学术思想浅析	燕京赵氏皮科流派;神经性皮炎;病因病机;经验传承	赵炳南是我国中医皮外科学界泰斗，现代中医皮肤科的奠基人和开拓者。燕京赵氏皮科流派在创始人赵炳南老先生的带领下，已成为中医皮肤科学术流派的代表之一。赵氏流派认为神经性皮炎病机总以风邪顽湿为患，或为情志不遂，气机失调，日久气血失和，不荣于外。内治以搜风除湿、调理气血、宁心安神为法，并结合患者的具体证候佐以疏肝、健脾等法；外治则以熏药、拔膏、溻渍等价廉效验的特色疗法，实现软坚润肤、通经活络的治疗目标。内外合治，临床疗效显著。
Journal Article	孙丽蕴; 邓丙戌; 王萍; 周冬梅; 曲剑华; 张苍; 蒋岚; 李冠汝; 徐旭英	2019	燕京赵氏学术流派治疗斑秃特色方药简介	燕京医学;赵氏学术流派;斑秃;中医药疗法	"赵炳南教授传承《外科正宗》《医宗金鉴》等中医经典,认为斑秃的病因多为肝肾虚亏,血亏气虚,腠理不固,风邪乘虚而入,风盛血燥,致发失所养则脱落;治宜滋补肝肾,养血祛风生发,方用神应养真丹加减。局部治疗为生发酒外搽、鲜姜块外搽或梅花针叩刺,1次/d;或外用鲜椰子汁或椰子油搽局部。使用单方成药可配合神应养真丹、七宝美髯丹和健身宁,并拟定苣胜子方治疗斑秃。张志礼教授自拟内服养血益肾煎及特色外用方剂复方生发酊;邓丙戌教授传承创新燕京赵氏学术流派学术思想,提出""类比选药""的皮肤病外用治疗理论,将中药外用生发护发类药物分为生发药和护发药,生发药又分刺激生发药、补益生发药、涩敛生发药等。"
Journal Article	一典	1999	医精德重 杏林楷模——记著名皮肤科专家张志礼教授		"<正> 一天,北京中医医院皮肤科内,一位中年患者拉着医生的手连声道谢,不知如何表达自己的心情。他是一位多年的红斑狼疮患者,病情很重,在新疆当地已经使用了大量激素治疗。众所周知,红斑狼疮是一种危害严重的结缔组织病,与自身免疫机制有关,治疗起来非常棘手,属疑难病之一。疾病本身的折磨,激素的副作用以及精神上的压力使这位患者痛不欲生。抱着最后一线"
Conference Proceedings	张芃	2011	忆父亲张志礼		"<正>父亲离开我们已经是第11个年头了,回想起最后一次送父亲去医院出门诊的情景,至今还历历在目。那是2000年10月的一个周日的早晨,刚刚接受了心脏搭桥手术不到半年的父亲,不顾身体的不适及家人的劝阻,坚持要去出门诊。我当时与他约定只看五位患者,可他不同意,他说好多患者是从遥远的外省市来到北京,连夜挂号等候诊治,多不容易啊!可谁想就在去医院的路上,他的心脏病发作,后经抢救无效,永远地离开了我们,离开了他为"
Journal Article	蔡念宁	2009	硬皮病辨治经验概述	硬皮病;赵炳南;张志礼;辨证治疗	"<正>硬皮病属风湿免疫性疾病范畴,习惯沿用结缔组织疾病,临床分为系统性硬化病和限局性硬皮病两类。该病的属性确定了该病的治疗难度与预后。中医学认为硬皮病属""皮痹""""皮痹疽""范畴,病因总为"
Journal Article	杨岚; 朱慧婷; 王萍; 曲剑华	2020	张志礼辨证论治寻常痤疮经验	张志礼;寻常痤疮;辨证论治	"张志礼教授擅长中西医结合诊治常见或疑难重症皮肤病。张教授认为""湿盛热重,久则血瘀气滞""为寻常痤疮的病机主线,分为肺胃湿热、脾虚湿盛、痰瘀互结、冲任不调4个证型;临床常应用清热类药物,占比59.49%;中药使用频次前15位的依次为黄芩、野菊花、地骨皮、生栀子、桑白皮、牡丹皮、金银花、生地黄、赤芍、全瓜蒌、香附、益母草、熟大黄、羚羊角粉、连翘;常用对药10对,主要为清热解毒、行气活血、健脾利湿类药物。"
Journal Article	王根林	2007	张志礼辨证治疗寻常型银屑病的经验	张志礼;寻常型银屑病;老中医经验	
Journal Article	刘久利; 杨慧敏; 王萍; 杨岚; 张艺; 周冬梅	2020	张志礼辨治天疱疮经验	张志礼;天疱疮;老中医经验	"张志礼教授将天疱疮分为4型进行辨证论治,病因重视湿热与毒邪,治疗注重扶正与祛邪,常用方药为解毒凉血汤、八生汤、解毒养阴汤等,擅用解毒药,其应用贯穿本病治疗的始终。擅用中西医结合疗法,在急性期的治疗中,中药与激素主要是协同作用,在亚急性期与慢性期的治疗中,中药还可减少激素的副作用,并可通过益气养阴、调和气血,调整体质,使激素顺利递减。"
Journal Article	刘久利; 王萍; 张芃; 杨岚; 张苍	2022	张志礼教授从湿和瘀辨治结节性红斑经验举隅	红斑;结节性;张志礼;名医经验	介绍张志礼教授从湿、瘀入手辨治结节性红斑的临床经验。认为急性期湿热互结，阻滞血脉，导致气血运行失畅，气隔血聚而发病，当以清热除湿为主，配合凉血活血、化瘀软坚为治法。慢性期转为湿寒证，当健脾燥湿、扶助阳气为主，配合温经散寒、活血散结为治法。
Conference Proceedings	王萍	2011	张志礼教授临床经验介绍		<正>1.传承及治学之路2.对中西医结合的认识3.张老经验方3.1健脾益肾擅治硕疾经验方1:健脾益肾合剂(狼疮合剂)组成:黄芪、太子参、女贞子、菟丝子、鸡血藤、茯苓、仙灵脾、白术、秦艽、草河车、白花蛇舌草等。对药:草河车(拳参)白花蛇舌草对药:仙灵脾(淫羊藿)仙茅
Journal Article	李艳玲	2001	张志礼教授临证治验3则	系统性红斑狼疮;硬皮病;张志礼	
Conference Proceedings	王萍; 张芃	2001	张志礼教授生平		"<正>张志礼教授是我国著名的中西医结合皮肤病专家,中西医结合皮肤学科的首创者和开拓者。曾任北京而赵炳南皮肤病医疗研究中心主任全国中医皮肤病治疗中心主任、北京中医医院皮肤科主任、中国中西医结合学会皮肤性病专业委员会主任委员、名誉主任、中华医学会皮肤科学会副主任委员 北京中西医结合学会皮肤性病专业委员会主任委员荣获北京市“有突出贡献的专家”称号、全国著名中医、中西医结合专"
Journal Article	安家丰杨秀珍	1995	张志礼教授治疗带状疱疹经验摭拾		张志礼教授治疗带状疱疹经验摭拾杨秀珍广西柳州市中医院５４５００１柳州布解放北路３２号安家丰北京中医医院１０００１０北京东城区美术馆后街２３号张志礼教授是北京市赵炳南皮肤病医疗研究中心主任，北京中医医院皮肤科主任，是我国著名的中西医结合皮肤科专家。张教...
Journal Article	安家丰王文博	1992	张志礼教授治疗儿童异位性皮炎的经验		"<正> 异位性皮炎是一种较顽固易复发的皮肤病,目前尚无特效疗法。张志礼教授积卅余年经验,采用健脾消导为主的法则治疗本病取得满意效果,现报道如下。临床资料一、一般情况门诊患者201例,男117例、女84例。年龄1月～14岁。参照康克非1986年关于"
Journal Article	张秡王萍	2003	张志礼教授治疗系统性红斑狼疮的临床经验		
Journal Article	张芃王萍	2003	张志礼教授治疗系统性红斑狼疮的临床经验(二)		"<正> 2中医药的研究2.1补益方剂——狼疮合剂 张教授积数十年治疗红斑狼疮的经验,抓住主要矛盾,分析探索,运筹帷幄。他指出,本病的临床征象虽然复杂,但“虚”是本病之本,机体阴阳失调,气血失和造成的机体机能与代谢失调,体质虚弱,抵抗力下降,是发病的根本原因。所以,在治疗本病时,要切记“虚”是本病之本,补虚是临床治疗的重要法则。要注重扶正重于祛邪的指导思想,用药多"
