Reference Type	Author	Year	Title	Keywords	Abstract
Journal Article	李隽	2018	“肺合皮毛”理论在皮肤疾病治疗中的应用		"<正>""肺合皮毛""理论源自《内经》,是肺与皮毛多种关联的总结。如:《素问·痿论篇》曰:""肺主身之皮毛"";""皮毛者,肺之合也""。《素问·五脏生成篇》曰:""肺之合皮毛,其荣毛也""。《内经》中15处明确论及肺与皮毛的生理、病理关系,并概括为肺主皮毛、肺合皮毛、肺生皮毛、肺应皮毛。""肺合皮毛""是指肺管于体表皮肤、黏膜、汗腺、发须,是对肺与体表组织的生理功能、病理变化及其相互关系的高度概括。基于""肺合皮毛""理"
Journal Article	刘志勇; 王莒生; 王萍	2010	“天人合一”观在中医临床中的应用	天人合一;整体观;中医临床;应用	"""天人合一""观是中医独有的理论,有着深厚的理论基础和丰富的内容,在中医临床中有着广泛的应用,具有重要的理论和临床应用价值。"
Newspaper Article	张鹏飞		北京中医医院院长王莒生出诊:春天要多吃通气蔬菜		
Journal Article	贾绍燕	2015	从经典病例探讨王莒生教授治疗紫癜类皮肤病的中医辨治思路	紫癜;中医疗法;辨证论治;名医经验;王莒生	"<正>王莒生,主任医师,教授,博士研究生导师,原首都医科大学附属北京中医医院院长、北京市中医研究所所长,第四、五批全国老中医药专家学术经验继承工作指导老师,中华中医药学会内科分会常务理事,中华中医药学会医院管理分会常务理事,北京中医药学会副会长,北京中西医结合学会会长。王莒生教授常年从事皮肤科临床工作,在过敏性紫癜、原发性血小板减少性紫癜等紫癜类皮肤病的诊治过程中形成了一套行之有效的中医辨治思路,笔者现结合相关经典病例,将王莒生"
Newspaper Article	项丹平		女性体寒容易招惹癌“三字经”助你驱寒祛湿		
Journal Article	周冬梅; 王莒生	2011	浅谈王莒生老师治疗白癜风经验	白癜风;中医药治疗	"王莒生教授认为白癜风是因肝肾不足,加之肝气郁滞,导致气滞血瘀,血虚风燥。本文从从肝论治、重视心理治疗、善从风论治、现代研究成果用于临床及附病案解析等方面阐述王莒生教授运用中医药治疗白癜风的经验。"
Journal Article	贾绍燕	2013	全国名老中医王莒生教授巧用药物的临床经验	临床;芍药;竹茹;威灵仙;乌梢蛇	"王莒生教授从事中医临床工作30余年,治病广泛,思路开阔,用药风格独特,治疗用药胆大心细,疗效明显。本文介绍王老临床中巧用及活用芍药、竹茹、威灵仙及乌梢蛇四味中药,给临床人员及研究者以启迪和指导。"
Journal Article	赵公泽; 王莒生; 尚俊良; 周冬梅; 张旭	2022	王莒生基于“以色治色”法治疗白癜风经验浅析	以色治色;白癜风;临床用药;话疗;王莒生	王莒生教授在继承赵炳南、郭念筠等对白癜风病因病机认识的基础上，不断开拓对黑白药物的认识及运用“，以色治色”，形成以滋补肝肾为主的“十白、六黑”常用药物；同时其认为身心同治是中医药治疗白癜风的一大优势“，话疗”亦是中医“以色治色”疗法中的重要组成部分。
Journal Article	祝勇	2015	王莒生教授“五步法”治疗咳喘病的经验浅析	咳喘;老中医经验;王莒生	"咳喘是一组常见的呼吸系统症候群,多数医家认为咳喘的发生与""五脏""相关,《内经》言:""五脏六腑均令人咳,非独肺也。""王莒生教授治疗咳喘病多用""1、2、3、4、5""五法治疗,不同数字代表不同中药或方剂,通过不同的组合,调整处方治疗方向,或""宣降并用"",或""肺肾同治"",继承发扬名老中医经验及扩大古方应用范围治疗咳喘病,从而取得满意的疗效。"
Journal Article	周继朴; 王莒生	2011	王莒生教授从肺论治皮肤病经验	皮肤病;肺主皮毛;从肺论治;中医经验	"肺与皮肤病变有着密切联系,无论外感或内伤因素导致肺脏受邪、肺之功能失调,最易发生各种皮肤疾患,如白癜风、湿疹、硬皮病等,应用一般方法效果欠佳。王莒生教授从事临床工作多年,在皮肤病的治疗中重视肺与皮毛的关系,重视疾病病因,以及诱发加重的外部因素。在临床诊疗中,他注重从肺论治多种皮肤病,主张祛风宣肺散邪、恢复肺之宣发肃降功能,治疗中分别或联合应用补益肺气、清肺化痰、宣降肺气、养阴润肺等方法辨证施治,对多种疑难皮肤病、呼吸系统疾病的诊治疗效显著。"
Journal Article	祝勇	2015	王莒生教授从肺论治湿疹经验	湿疹;从肺论治;楮桃叶;浮楮清热除湿汤	"<正>湿疹是由多种内外因素引起的一种具有明显渗出倾向的炎症性皮肤病,伴有明显瘙痒,易复发,严重影响患者的生活质量[1]。本病属于中医的""湿疮""范畴。其特征是皮损多形,对称分布,有渗出倾向,瘙痒剧烈,缠绵难愈,反复发作,男女老幼皆可患病,无明显季节性,但冬季常常复发[2]。西医学把湿疹分为急性、亚急性、慢性3型[3],3型可交替出现。湿疹的发病原因非常复杂,大体分"
