id,type,question,answer
1,选择,赵炳南对于系统性红斑狼疮的治疗观点主要是什么？A以清热解毒为主；B以燮理阴阳，调和气血为主；C以健脾渗湿法为主；D以散风止痒为主。,B
2,选择,陈彤云在治疗皮肤病时，认为辨证与辨病的关系是？A. 辨证更重要；B. 辨病更重要；C. 辨证与辨病互为补充；D. 辨证与辨病无关。,C
3,选择,以下关于庄国康治疗神经性皮炎的分期辨证论治描述错误的是？A.急性发作期应以重潜搜风为主；B.慢性迁延期应以养血润燥，活血通络为主；C.治疗神经性皮炎时，庄国康始终将重潜搜风、养血润燥、活血通络之法贯穿于治疗过程；D.庄国康认为神经性皮炎急性期和慢性期的治疗原则完全不同。,D
4,选择,赵炳南在治疗皮肤病时，认为哪种因素与许多皮肤病发生发展有密切关系？A.风邪；B.湿邪；C.热邪；D.虫邪,B
5,选择,以下哪位名医擅长使用‘引经药’来加强药物对湿疮的局部疗效？A.赵炳南；B.庄国康；C.陈彤云；D.朱仁康。,A
6,选择,邹铭西认为湿疹的病因以内因为主，以下哪项不是其主要病因？A湿热风；B脾胃虚弱；C饮食不节；D精神紧张,D
7,选择,赵炳南先生在治疗皮肤病时，特别主张以下哪种方法？A. 从湿论治；B. 从热论治；C. 从风论治；D. 从燥论治。,A
8,选择,赵炳南在治疗慢性荨麻疹时，强调的辨证首要步骤是什么？A辨病；B辨虚实；C辨阴阳；D辨气血。,A
9,选择,根据陈勇的临证经验，寻常型银屑病的发病内在因素是什么？A血燥；B血瘀；C血热；D气血失和。,A
10,选择,张作舟将慢性荨麻疹分为哪四种类型？A.风寒、风热、风湿、血瘀；B.表虚不固、血虚气弱、阴虚内热、湿热内蕴；C.阴阳失调、气血失和、风寒、风热；D.脾胃虚弱、肝郁气滞、心肺不足、肾精亏损。,B
11,选择,张作舟在治疗小儿湿疹时，主要遵循的理论是什么？A脾胃论；B血瘀论；C风燥论；D肝肾论；,A
12,选择,赵炳南在治疗慢性湿疹时，认为哪种情况下游走不定，瘙痒明显？A夹风者；B湿热化火者；C湿盛型；D热盛型。,A
13,选择,庄国康治疗系统性红斑狼疮时，认为其根本病机是什么？A.肝肾亏虚；B.气滞血瘀；C.肝肾亏虚、气滞血瘀；D.仅是气滞血瘀。,C
14,选择,庄国康在治疗黑变病时，以下哪种药物组合不在其药用范围内？A.吴茱萸、续断；B.陈皮、补骨脂；C.茯苓、泽泻；D.麻黄、荆芥。,D
15,选择,根据朱仁康的临证经验，以下哪种药物不是用于治疗风热久羁型荨麻疹的？A. 乌蛇；B. 黄连；C. 当归；D. 银花,C
16,选择,邹铭西在治疗湿疹时，以下哪种外用药物使用原则是错误的？A用药薄而均匀；B每日1～2次；C选择几种制剂交替使用；D必须使用有刺激性的药物,D
17,选择,王文春主任医师在治疗多形性红斑时，针对风寒湿型的治疗原则是？A.温经通络，祛寒化湿；B.清热利湿，凉血解毒；C.滋阴降火，清热解毒；D.疏风清热，宣肺散寒；,A
18,选择,赵炳南在治疗脚湿气时，主要将癣菌疹归属于哪个范畴？A湿毒疡；B风湿疡；C都是；D都不是,A
19,选择,以下哪位名医在治疗皮肤病时强调了内外合治的重要性？A.魏跃钢；B.赵炳南；C.庄国康；D.以上均未强调。,B
20,选择,根据陈凯的临证经验，银屑病患者在治疗时应避免使用哪种类型的外用药？A.无刺激性的单软膏；B.香腊膏；C.糖皮质激素；D.粉剂。,C
21,选择,张志礼在治疗银屑病时，以下哪个因素不会被考虑？A感染因素；B精神紧张因素；C药物因素；D饮食因素,D
22,选择,张作舟治疗白癜风的根本病机认为是？A.气血不和；B.肝肾不足；C.瘀血阻络；D.所有上述,D
