head,head_type,tail,tail_type,relation,journal_id,docs
晚期食管癌,疾病,肿瘤标记物,生物标志物,有症状,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
晚期食管癌,疾病,MMP-9,生物标志物,有症状,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
晚期食管癌,疾病,VEGF,生物标志物,有症状,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
肿瘤标记物,生物标志物,CEA,肿瘤标记物,水平,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
肿瘤标记物,生物标志物,CA19-9,肿瘤标记物,水平,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
肿瘤标记物,生物标志物,CA125,肿瘤标记物,水平,2024369,"""紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9和VEGF水平的影响 [目的]观察紫杉醇联合顺铂对晚期食管癌患者肿瘤标记物及MMP-9、VEGF水平的影响。[方法]选取2016年4月～2018年4月在我院进行晚期食管癌治疗的90例患者为研究对象,按照随机数字法分成对照组和观察组,每组各45例。对照组给予顺铂联合氟尿嘧啶治疗,观察组给予紫杉醇联合顺铂治疗。对比2组治疗后肿瘤标记物及MMP-9、VEGF水平。[结果]治疗后2组患者在CEA、CA19-9、CA125方面水平低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后对照组患者在CEA、CA19-9、CA125方面水平明显高于观察组,2组比较差异有统计学意义(P<0.05);治疗2组患者在血清MMP-9及VEGF方面水平均低于同组治疗前,2组组内比较差异有统计学意义(P<0.05);治疗后观察组患者在血清MMP-9及VEGF方面水平均低于对照组,2组比较差异有统计学意义(P<0.05);治疗后对照组临床总有效率与观察组比较,显著下降(P<0.05);治疗后对照组患者1年、2年生存率低于观察组,组间比较差异有统计学意义(P<0.05)。[结论]紫杉醇联合..."""
心律失常,中医诊断,三七粉,药物,有,1,黄连素治疗心律失常40例 目的：观察黄连素治疗心律失常的临床疗效。方法：用黄连素０．４－０．５／日４次口服，疗程２－４周。疗效标准：显效：用药期间心律失常消失。有效：用药后早搏减少５０％以上，房颤心室率减慢１５次以上或发病次数明显减少，发病时间明显缩短。无效：治疗后无变化。结果：本组４０例，显效１１例，有效１６例，总有效率６７．５％。结论：本品有抗心律失常的作用。
发展支撑保障,中医药政策,全国卫生健康工作会议,医疗会议,提及,2024374,强化卫生健康事业发展支撑保障 今年的全国卫生健康工作会议提出，强化卫生健康事业发展的支撑保障，在法治建设、投入保障、科技创新、发展壮大医疗卫生队伍、加强平安医院建设、加强医疗行业综合监督、守牢意识形态阵地等领域圈出重点。这体现出，发展卫生健康事业坚持统筹观念，进一步补短板、强弱项，目......
法治建设,医学支柱,发展支撑保障,中医药政策,支持,2024374,强化卫生健康事业发展支撑保障 今年的全国卫生健康工作会议提出，强化卫生健康事业发展的支撑保障，在法治建设、投入保障、科技创新、发展壮大医疗卫生队伍、加强平安医院建设、加强医疗行业综合监督、守牢意识形态阵地等领域圈出重点。这体现出，发展卫生健康事业坚持统筹观念，进一步补短板、强弱项，目......
投入保障,医学支柱,发展支撑保障,中医药政策,支持,2024374,强化卫生健康事业发展支撑保障 今年的全国卫生健康工作会议提出，强化卫生健康事业发展的支撑保障，在法治建设、投入保障、科技创新、发展壮大医疗卫生队伍、加强平安医院建设、加强医疗行业综合监督、守牢意识形态阵地等领域圈出重点。这体现出，发展卫生健康事业坚持统筹观念，进一步补短板、强弱项，目......
